"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tup" "tutd" "tutu"
"544" NA NA NA NA NA 42 NA NA 0 0
"545" NA NA NA NA NA 19 NA NA 0 0
"546" NA NA NA NA NA 29 NA NA 0 0
"547" NA NA NA NA NA 32 NA NA 0 0
"548" NA NA NA NA NA 45 NA NA 0 0
"549" NA 1 3 NA 1 33 NA NA 0 0
"550" NA NA NA NA 1 35 NA NA 0 0
"551" NA NA NA NA NA 42 NA NA 0 0
"552" NA NA NA 1 NA 33 NA NA 0 0
"553" NA NA NA NA NA 34 NA NA 0 0
"554" NA NA 1 NA NA 45 NA NA 0 0
"555" NA NA NA 1 1 23 NA NA 0 0
"556" NA 1 1 NA NA 35 NA NA 0 0
"557" NA NA NA NA NA 39 NA NA 0 0
"558" NA NA 1 NA NA 43 NA NA 0 0
"559" NA NA NA NA 1 41 NA NA 0 0
"560" NA NA 1 NA NA 38 NA NA 0 0
"561" NA NA NA NA 1 39 NA NA 0 0
"562" NA NA 1 NA NA 41 NA NA 0 0
"563" NA NA NA NA NA 31 NA 1 0 0
"564" NA 1 1 1 NA 40 NA NA 0 0
"565" NA NA NA NA NA 37 NA NA 0 0
"566" NA NA 2 1 1 44 NA NA 0 0
"567" NA NA NA NA NA 43 NA 1 0 0
"568" 1 NA NA 2 NA 27 NA NA 0 0
"569" NA NA NA NA NA 39 NA 1 0 0
"570" NA NA 1 3 1 21 NA NA 0 0
"571" NA NA NA NA NA 37 NA NA 0 0
"572" NA 1 NA NA 1 33 NA NA 0 0
"573" NA NA NA NA 1 32 NA NA 0 0
"574" NA NA NA NA 1 34 NA NA 0 0
"575" NA NA NA NA NA 27 NA NA 0 0
"576" NA NA NA NA NA 45 NA NA 0 0
"577" NA NA NA NA NA 43 NA NA 0 0
"578" NA NA NA NA NA 17 NA NA 0 0
"579" NA NA NA 1 1 39 NA NA 0 0
"580" NA NA 1 1 NA 28 NA NA 0 0
"581" NA NA NA NA NA 32 NA NA 0 0
"582" NA NA 1 NA 3 30 NA NA 0 0
"583" NA NA 1 NA NA 44 NA NA 0 0
"584" NA NA NA NA NA 47 NA NA 0 0
"585" NA NA NA NA NA 40 NA NA 0 0
"586" NA NA NA 1 NA 45 NA NA 0 0
"587" NA NA NA NA 1 35 NA NA 0 0
"588" 1 NA 1 1 NA 30 NA NA 0 0
"589" NA NA 1 NA NA 21 NA NA 0 0
"590" 1 1 1 1 NA 27 NA NA 0 0
"591" NA NA NA NA NA 51 NA NA 0 0
"592" NA NA NA NA NA 28 NA NA 0 0
"593" NA NA 2 NA 2 37 NA NA 0 0
"594" NA NA 1 1 NA 34 NA NA 0 0
"595" NA NA NA NA NA 40 NA NA 0 0
"596" NA NA NA 1 NA 44 NA NA 0 0
"597" NA NA 1 NA 1 24 NA NA 0 0
"598" NA NA NA NA NA 39 NA NA 0 0
"599" NA NA NA NA NA 23 NA NA 0 0
"600" NA 1 1 NA 1 37 NA NA 0 0
"601" NA 1 1 NA 1 39 NA NA 0 0
"602" NA NA 2 NA 4 31 NA NA 0 0
"603" NA NA 1 NA 1 43 1 NA 0 0
"604" NA NA NA NA NA 34 NA NA 0 0
"605" NA NA NA NA NA 40 NA NA 0 0
"606" NA NA NA NA NA 26 NA NA 0 0
"607" NA NA 1 NA NA 33 NA NA 0 0
"608" NA NA NA 3 NA 37 NA NA 0 0
"609" NA NA 2 NA NA 32 NA NA 0 0
"610" 1 NA NA NA NA 27 NA 1 0 0
"611" NA NA NA 1 NA 31 NA NA 0 0
"612" NA NA 2 1 1 38 NA NA 0 0
"613" NA NA NA NA NA 33 NA NA 0 0
"614" NA NA NA 1 1 44 NA NA 0 0
"615" NA NA NA NA NA 32 NA NA 0 0
"616" NA NA NA NA NA 35 NA NA 0 0
"617" NA 1 1 2 NA 28 NA NA 0 0
"618" NA NA 1 NA NA 36 NA NA 0 0
"619" NA NA 1 NA NA 39 NA NA 0 0
"620" NA NA 1 NA NA 47 NA NA 0 0
"621" NA NA NA NA NA 26 NA NA 0 0
"622" NA NA 2 NA 1 37 NA NA 0 0
"623" NA NA NA NA 1 27 NA NA 0 0
"624" NA NA NA 1 NA 32 NA NA 0 0
"625" NA NA NA 2 NA 30 NA NA 0 0
"626" NA NA NA NA 2 33 NA NA 0 0
"627" NA NA NA 3 1 38 NA NA 0 0
"628" NA NA 1 NA NA 40 NA NA 0 0
"629" NA NA 1 NA NA 28 NA NA 0 0
"630" NA NA 2 NA NA 31 NA NA 0 0
"631" NA NA NA NA 1 48 NA NA 0 0
"632" NA NA NA NA 1 27 NA NA 0 0
"633" NA NA NA NA NA 42 NA NA 0 0
"634" NA NA NA NA NA 37 NA NA 0 0
"635" NA NA NA NA 1 34 NA NA 0 0
"636" NA NA NA NA NA 26 NA NA 0 0
"637" NA NA NA NA NA 43 NA NA 0 0
"638" NA NA 1 NA NA 36 NA NA 0 0
"639" NA NA NA NA NA 38 NA NA 0 0
"640" NA NA NA NA 1 37 NA NA 0 0
"641" NA NA 2 NA 1 35 NA NA 0 0
"642" NA NA NA 1 NA 26 NA NA 0 0
"643" NA NA NA NA NA 32 NA NA 0 0
"644" NA NA 1 1 NA 22 NA NA 0 0
"645" NA NA NA NA NA 46 NA NA 0 0
"646" NA 1 1 NA NA 35 NA NA 0 0
"647" NA NA NA 2 NA 29 NA NA 0 0
"648" NA NA NA NA NA 43 NA NA 0 0
"649" NA NA 2 NA NA 29 NA NA 0 0
"650" 1 NA NA 1 NA 33 NA NA 0 0
"651" NA NA NA NA 1 31 NA NA 0 0
"652" NA NA NA NA 1 34 NA NA 0 0
"653" NA NA NA NA NA 43 1 NA 0 0
"654" NA NA NA 1 1 35 NA NA 0 0
"655" NA NA 2 NA 2 37 NA NA 0 0
"656" NA NA 1 NA NA 30 NA NA 0 0
"657" NA NA 1 NA 1 35 NA NA 0 0
"658" NA NA NA NA 1 37 NA NA 0 0
"659" NA NA NA 1 1 30 NA NA 0 0
"660" NA NA NA NA NA 35 NA NA 0 0
"661" NA NA 1 NA NA 35 NA NA 0 0
"662" NA NA 1 1 NA 43 NA NA 0 0
"663" NA NA NA NA NA 56 NA NA 0 0
"664" NA NA 1 NA NA 56 NA NA 0 0
"665" NA NA NA NA NA 34 NA NA 0 0
"666" NA NA NA NA NA 37 NA NA 0 0
"667" NA NA 1 NA 1 28 NA NA 0 0
"668" NA NA NA NA 1 36 1 NA 0 0
"669" NA NA NA 1 NA 34 NA NA 0 0
"670" NA NA NA NA NA 29 NA NA 0 0
"671" NA NA NA NA NA 35 NA NA 0 0
"672" NA 2 2 NA NA 32 NA NA 0 0
"673" NA NA NA NA NA 31 NA 1 0 0
"674" NA NA 1 1 1 39 NA NA 0 0
"675" NA NA 2 1 1 39 NA NA 0 0
"676" NA NA 1 NA 1 27 NA NA 0 0
"677" NA NA NA NA NA 39 NA NA 0 0
"678" NA NA NA 1 1 30 NA NA 0 0
"679" NA NA NA NA NA 32 1 NA 0 0
"680" NA NA NA NA 1 37 NA NA 0 0
"681" NA NA NA NA NA 35 NA NA 0 0
"682" NA NA NA NA NA 49 1 NA 0 0
"683" NA NA NA 1 NA 16 NA NA 0 0
"684" NA NA 2 NA 1 42 NA NA 0 0
"685" NA NA 1 NA NA 33 NA NA 0 0
"686" NA NA NA NA 1 30 NA NA 0 0
"687" NA NA NA 1 2 34 NA NA 0 0
"688" NA NA 1 NA NA 47 NA NA 0 0
"689" NA NA NA 1 NA 34 NA NA 0 0
"690" NA NA NA NA NA 38 NA NA 0 0
"691" NA NA 1 NA NA 34 NA NA 0 0
"692" NA NA 1 NA 1 37 NA NA 0 0
"693" NA NA NA NA NA 34 NA NA 0 0
"694" NA NA NA NA 2 32 NA NA 0 0
"695" NA 1 NA NA 1 40 1 NA 0 0
"696" NA NA NA 1 NA 27 1 NA 0 0
"697" NA NA NA NA NA 46 NA NA 0 0
"698" NA NA NA NA NA 46 NA NA 0 0
"699" NA NA 2 NA 4 33 NA NA 0 0
"700" 1 1 NA NA NA 41 NA NA 0 0
"701" NA NA NA NA NA 23 NA NA 0 0
"702" NA NA NA NA NA 41 NA NA 0 0
"703" NA NA NA NA NA 37 NA NA 0 0
"704" NA NA NA NA NA 29 NA NA 0 0
"705" NA NA NA NA NA 29 NA NA 0 0
"706" NA NA NA 2 NA 29 NA NA 0 0
"707" NA NA NA 1 NA 32 NA NA 0 0
"708" NA NA NA NA NA 53 NA NA 0 0
"709" NA NA NA NA NA 37 NA NA 0 0
"710" NA NA 1 NA 3 33 NA NA 0 0
"711" NA NA 1 NA NA 47 NA NA 0 0
"712" NA NA NA NA NA 25 NA NA 0 0
"713" NA NA 2 NA 1 36 NA NA 0 0
"714" NA NA 2 NA NA 32 NA NA 0 0
"715" NA NA 1 NA 2 43 NA NA 0 0
"716" NA NA 1 1 NA 32 NA NA 0 0
"717" NA NA NA NA NA 35 NA NA 0 0
"718" NA NA NA NA 1 25 NA NA 0 0
"719" NA NA NA 1 NA 48 NA NA 0 0
"720" 1 NA NA NA NA 36 NA NA 0 0
"721" NA NA NA 1 NA 22 NA NA 0 0
"722" NA NA NA NA NA 27 NA NA 0 0
"723" NA NA NA NA NA 35 NA NA 0 0
"724" NA NA 1 NA 1 47 NA NA 0 0
"725" NA NA 2 1 2 52 NA 1 0 0
"726" NA NA NA NA 1 47 NA NA 0 0
"727" NA NA NA NA NA 35 NA NA 0 0
"728" NA NA NA NA NA 38 NA NA 0 0
"729" NA NA NA NA NA 32 NA NA 0 0
"730" NA NA NA NA NA 30 NA NA 0 0
"731" NA NA NA NA NA 28 NA NA 0 0
"732" NA NA NA NA NA 15 NA NA 0 0
"733" NA NA NA 2 NA 37 NA NA 0 0
"734" NA NA NA NA NA 32 NA NA 0 0
"735" 1 NA NA 1 1 32 NA NA 0 0
"736" NA NA NA NA NA 36 NA NA 0 0
"737" NA NA NA NA NA 39 NA NA 0 0
"738" NA NA NA NA NA 34 1 NA 0 0
"739" NA NA NA NA 1 50 NA NA 0 0
"740" NA NA NA NA 1 19 NA NA 0 0
"741" NA NA NA NA NA 46 NA NA 0 0
"742" NA NA NA NA NA 35 NA NA 0 0
"743" NA NA NA NA NA 37 NA NA 0 0
"744" NA NA NA 1 NA 25 NA NA 0 0
"745" NA NA NA NA NA 39 NA NA 0 0
"746" NA NA NA 1 1 32 1 NA 0 0
"747" NA NA 2 NA 1 38 NA NA 0 0
"748" NA NA NA NA NA 39 NA NA 0 0
"749" NA NA NA NA NA 37 NA NA 0 0
"750" NA NA NA NA NA 30 NA NA 0 0
"751" NA NA 2 NA NA 36 NA NA 0 0
"752" NA 1 NA NA NA 38 NA NA 0 0
"753" NA NA NA NA 1 40 NA NA 0 0
"754" NA NA NA NA NA 43 NA NA 0 0
"755" NA NA NA NA NA 39 NA NA 0 0
"756" NA NA 1 NA NA 37 1 NA 0 0
"757" NA NA NA 1 NA 37 NA NA 0 0
"758" NA NA NA NA 1 24 1 NA 0 0
"759" NA NA NA 1 NA 31 NA NA 0 0
"760" NA 1 NA NA 1 36 NA NA 0 0
"761" NA 1 1 1 1 33 NA NA 0 0
"762" NA NA NA 1 1 33 NA NA 0 0
"763" NA NA NA NA NA 43 NA NA 0 0
"764" NA NA NA NA 1 43 NA NA 0 0
"765" NA NA NA 1 1 30 NA NA 0 0
"766" NA NA NA NA NA 39 NA NA 0 0
"767" NA NA NA 1 NA 36 NA NA 0 0
"768" NA NA NA NA NA 24 NA NA 0 0
"769" NA NA NA 1 NA 36 NA NA 0 0
"770" NA NA 1 2 NA 30 NA NA 0 0
"771" NA NA 1 2 NA 49 NA NA 0 0
"772" 1 NA 1 1 1 34 NA NA 0 0
"773" 1 NA NA 1 NA 41 NA NA 0 0
"774" NA NA NA NA NA 28 NA NA 0 0
"775" NA NA NA NA NA 35 NA NA 0 0
"776" NA NA NA NA NA 24 1 NA 0 0
"777" NA NA NA NA NA 36 NA NA 0 0
"778" NA NA NA NA NA 41 NA NA 0 0
"779" NA NA NA NA 1 38 NA NA 0 0
"780" NA NA 1 NA 1 43 NA NA 0 0
"781" NA NA NA NA NA 41 NA NA 0 0
"782" NA NA 1 NA NA 38 NA NA 0 0
"783" NA NA 1 NA 1 42 NA NA 0 0
"784" NA NA NA NA NA 32 NA NA 0 0
"785" NA NA 1 NA 1 23 NA NA 0 0
"786" NA NA 1 2 1 31 NA NA 0 0
"787" NA NA NA NA NA 31 2 NA 0 0
"788" NA NA 1 NA 1 34 NA NA 0 0
"789" NA NA NA 1 NA 40 NA NA 0 0
"790" NA NA 1 NA NA 37 NA 1 0 0
"791" NA NA NA NA NA 38 NA NA 0 0
"792" NA NA NA 1 NA 27 NA NA 0 0
"793" NA NA NA NA NA 19 NA NA 0 0
"794" NA NA NA NA NA 37 NA NA 0 0
"795" NA 1 1 NA 3 52 NA NA 0 0
"796" NA 1 NA NA NA 43 NA NA 0 0
"797" NA NA NA NA NA 42 NA NA 0 0
"798" NA 1 NA NA NA 28 NA 1 0 0
"799" NA NA 1 NA 2 34 NA NA 0 0
"800" NA NA 1 NA 1 39 NA NA 0 0
"801" NA NA NA NA NA 55 NA NA 0 0
"802" NA NA 1 1 1 31 NA NA 0 0
"803" NA 1 NA NA NA 33 NA NA 0 0
"804" NA NA NA NA 1 33 NA NA 0 0
"805" NA NA NA NA NA 49 NA NA 0 0
"806" NA NA NA 1 NA 37 NA NA 0 0
"807" NA NA NA NA NA 38 NA NA 0 0
"808" NA 1 NA NA NA 36 NA NA 0 0
"809" NA NA NA 1 1 28 NA NA 0 0
"810" NA NA 1 1 NA 41 NA NA 0 0
"811" NA NA NA NA NA 37 NA NA 0 0
"812" NA NA NA 1 1 32 NA NA 0 0
"813" 1 NA 1 1 NA 50 NA NA 0 0
"814" NA NA NA NA NA 39 NA NA 0 0
"815" NA NA NA NA NA 33 NA NA 0 0
"816" 1 NA NA 2 NA 45 NA NA 0 0
"817" NA NA NA NA NA 24 NA NA 0 0
"818" NA NA NA NA NA 40 NA NA 0 0
"819" NA NA NA NA NA 32 NA NA 0 0
"820" NA NA NA NA NA 24 NA NA 0 0
"821" NA NA NA 1 NA 35 NA NA 0 0
"822" NA NA NA NA NA 36 NA NA 0 0
"823" NA NA NA NA 1 36 NA NA 0 0
"824" NA NA NA NA NA 28 NA NA 0 0
"825" NA NA NA NA NA 33 NA NA 0 0
"826" NA NA NA NA NA 28 NA NA 0 0
"827" NA NA 3 1 1 37 NA NA 0 0
"828" NA NA NA NA NA 43 NA NA 0 0
"829" NA NA NA 1 NA 24 NA NA 0 0
"830" NA 1 NA NA NA 29 NA 1 0 0
"831" NA NA NA NA NA 38 NA NA 0 0
"832" NA NA NA 1 NA 38 NA NA 0 0
"833" 1 NA 1 1 NA 39 NA NA 0 0
"834" NA NA NA NA NA 33 NA NA 0 0
"835" NA NA 1 NA 1 36 NA NA 0 0
"836" NA NA NA NA NA 28 NA NA 0 0
"837" NA NA NA NA NA 32 NA NA 0 0
"838" NA NA 1 NA NA 42 NA NA 0 0
"839" NA NA NA NA NA 51 NA NA 0 0
"840" NA NA 1 1 4 42 NA NA 0 0
"841" NA NA NA 1 NA 49 NA NA 0 0
"842" NA NA 1 NA 1 36 NA NA 0 0
"843" NA NA NA NA NA 42 NA NA 0 0
"844" NA NA 1 NA NA 37 NA NA 0 0
"845" NA NA NA NA 1 39 NA 1 0 0
"846" NA NA 1 NA 1 25 1 NA 0 0
"847" NA NA NA NA 1 39 NA NA 0 0
"848" NA NA NA NA 1 40 NA NA 0 0
"849" NA NA NA 1 1 36 NA NA 0 0
"850" NA NA 1 NA 1 31 NA NA 0 0
"851" NA NA NA 1 NA 32 NA NA 0 0
"852" NA NA 3 NA 1 39 NA NA 0 0
"853" NA NA NA NA 1 47 NA NA 0 0
"854" NA NA NA NA NA 27 NA NA 0 0
"855" NA NA NA 1 NA 35 NA NA 0 0
"856" NA NA NA NA NA 44 NA NA 0 0
"857" NA NA NA NA 1 43 NA NA 0 0
"858" NA NA 2 NA 1 51 NA NA 0 0
"859" NA NA NA NA 1 36 NA NA 0 0
"860" NA NA 3 NA 1 38 NA NA 0 0
"861" NA NA 2 NA NA 40 NA NA 0 0
"862" NA NA 1 2 NA 34 NA NA 0 0
"863" NA NA NA NA NA 27 NA NA 0 0
"864" NA NA NA NA NA 34 NA NA 0 0
"865" NA NA NA NA NA 30 NA NA 0 0
"866" NA NA NA 1 NA 29 NA NA 0 0
"867" NA 1 1 1 NA 34 1 NA 0 0
"868" NA NA NA NA NA 32 NA NA 0 0
"869" NA NA NA NA NA 43 NA NA 0 0
"870" NA NA NA NA 1 32 NA NA 0 0
"871" NA NA NA NA 1 32 NA NA 0 0
"872" NA NA NA NA NA 29 NA NA 0 0
"873" NA NA NA 2 NA 37 NA NA 0 0
"874" NA NA NA NA NA 53 NA NA 0 0
"875" NA NA NA NA NA 37 NA NA 0 0
"876" NA NA NA NA NA 23 NA NA 0 0
"877" NA NA 1 NA NA 25 NA NA 0 0
"878" NA NA NA 1 NA 52 NA NA 0 0
"879" NA NA NA 1 1 27 NA NA 0 0
"880" NA NA NA NA NA 24 NA NA 0 0
"881" NA NA NA NA NA 28 NA NA 0 0
"882" NA NA NA NA NA 37 1 1 0 0
"883" NA NA NA NA 1 25 NA NA 0 0
"884" NA NA NA NA 1 35 NA NA 0 0
"885" NA NA NA NA NA 25 NA NA 0 0
"886" NA NA 1 NA NA 39 NA NA 0 0
"887" 1 NA NA 1 NA 33 NA NA 0 0
"888" NA NA NA 2 NA 26 NA NA 0 0
"889" NA NA NA NA 1 30 NA NA 0 0
"890" NA NA 1 NA NA 28 NA NA 0 0
"891" NA NA NA 1 3 36 NA NA 0 0
"892" 1 NA NA 1 1 34 NA NA 0 0
"893" NA 1 NA NA NA 42 NA NA 0 0
"894" NA NA 2 1 NA 39 NA NA 0 0
"895" NA NA NA NA NA 35 NA NA 0 0
"896" NA 1 1 NA 1 40 NA NA 0 0
"897" NA NA NA NA NA 44 NA NA 0 0
"898" NA NA NA 1 NA 27 NA NA 0 0
"899" NA NA NA 1 NA 19 NA NA 0 0
"900" NA NA 1 1 1 28 NA NA 0 0
"901" NA NA 2 NA NA 28 NA 1 0 0
"902" NA NA NA NA NA 26 NA NA 0 0
"903" NA NA NA NA 1 37 NA NA 0 0
"904" NA NA NA NA 1 25 NA NA 0 0
"905" NA NA NA 1 NA 33 NA NA 0 0
"906" NA NA NA 1 3 36 NA NA 0 0
"907" NA NA NA 2 1 41 NA NA 0 0
"908" NA NA NA 1 NA 46 NA NA 0 0
"909" NA NA NA NA NA 31 NA NA 0 0
"910" NA NA NA NA NA 34 NA NA 0 0
"911" NA NA NA NA NA 44 NA NA 0 0
"912" NA NA NA NA 1 25 NA NA 0 0
"913" NA 1 1 NA 1 38 NA NA 0 0
"914" NA NA NA NA NA 30 NA NA 0 0
"915" NA NA NA NA NA 36 NA NA 0 0
"916" NA 1 1 NA 1 37 NA NA 0 0
"917" NA NA 1 NA 1 30 NA NA 0 0
"918" NA NA NA NA NA 35 NA NA 0 0
"919" NA NA NA 1 NA 50 NA NA 0 0
"920" NA NA NA NA NA 39 NA NA 0 0
"921" NA NA NA NA NA 45 NA NA 0 0
"922" NA NA 1 NA NA 26 NA NA 0 0
"923" NA NA NA NA NA 39 NA NA 0 0
"924" NA NA NA NA NA 46 NA NA 0 0
"925" NA NA NA NA NA 51 NA NA 0 0
"926" NA NA NA NA NA 29 NA NA 0 0
"927" NA NA 1 NA NA 38 NA NA 0 0
"928" NA NA NA NA NA 39 NA NA 0 0
"929" NA NA NA NA NA 38 NA NA 0 0
"930" NA NA NA NA NA 36 NA NA 0 0
"931" NA NA NA NA NA 37 NA NA 0 0
"932" NA NA NA NA NA 49 NA 1 0 0
"933" NA NA NA NA 1 34 NA NA 0 0
"934" NA NA NA NA NA 30 NA NA 0 0
"935" NA NA 1 NA 1 31 NA NA 0 0
"936" NA 1 NA NA NA 41 NA NA 0 0
"937" NA NA NA NA NA 35 NA NA 0 0
"938" NA NA NA NA NA 35 NA NA 0 0
"939" NA NA 1 NA NA 36 NA NA 0 0
"940" NA NA NA 1 NA 43 1 NA 0 0
"941" NA NA NA NA NA 34 NA NA 0 0
"942" NA 1 NA NA 2 26 NA NA 0 0
"943" NA NA 1 NA 1 36 NA NA 0 0
"944" NA NA NA 1 1 54 NA NA 0 0
"945" NA NA NA 1 NA 36 1 NA 0 0
"946" NA NA NA NA NA 43 NA NA 0 0
"947" NA NA 1 NA NA 33 NA 1 0 0
"948" NA NA NA 1 1 39 NA NA 0 0
"949" NA NA 1 NA NA 39 NA NA 0 0
"950" NA NA NA NA NA 32 NA NA 0 0
"951" NA NA 2 NA 1 40 NA NA 0 0
"952" NA NA NA NA NA 38 NA NA 0 0
"953" NA NA NA NA NA 22 NA NA 0 0
"954" NA NA 1 NA 1 31 NA NA 0 0
"955" NA NA NA NA NA 40 1 NA 0 0
"956" NA NA NA NA NA 21 NA NA 0 0
"957" NA NA NA NA NA 38 NA NA 0 0
"958" NA NA NA NA NA 44 NA NA 0 0
"959" NA NA NA 1 1 22 NA NA 0 0
"960" NA NA NA NA NA 36 NA NA 0 0
"961" NA NA NA NA NA 39 NA NA 0 0
"962" NA 1 NA NA NA 25 NA NA 0 0
"963" NA NA 1 NA NA 48 1 NA 0 0
"964" NA NA NA NA 1 39 NA NA 0 0
"965" 2 NA 1 1 NA 29 NA 1 0 0
"966" NA NA NA NA NA 36 NA NA 0 0
"967" NA NA NA NA NA 25 NA NA 0 0
"968" NA NA NA NA NA 34 NA NA 0 0
"969" NA NA 1 NA NA 32 NA NA 0 0
"970" NA NA 1 1 NA 27 NA NA 0 0
"971" NA NA 1 NA NA 61 NA NA 0 0
"972" NA NA NA 1 1 30 NA NA 0 0
"973" NA NA 1 NA NA 35 NA NA 0 0
"974" NA NA 1 1 NA 27 NA NA 0 0
"975" 1 NA NA 1 1 36 NA NA 0 0
"976" NA NA NA NA NA 28 NA NA 0 0
"977" 1 NA NA NA NA 51 NA NA 0 0
"978" NA NA NA 1 NA 27 NA NA 0 0
"979" NA NA 2 NA NA 39 NA NA 0 0
"980" NA NA NA NA NA 41 NA NA 0 0
"981" NA NA 1 NA NA 26 NA NA 0 0
"982" NA NA NA 1 NA 34 NA NA 0 0
"983" NA NA NA NA NA 49 NA NA 0 0
"984" NA NA NA 1 1 26 NA NA 0 0
"985" NA NA 1 NA 1 27 NA NA 0 0
"986" NA NA NA NA NA 35 NA NA 0 0
"987" NA NA 1 NA 1 29 NA NA 0 0
"988" NA NA 2 NA NA 30 NA NA 0 0
"989" NA NA NA NA NA 46 NA 1 0 0
"990" NA NA 2 1 3 44 NA NA 0 0
"991" NA 1 1 NA NA 39 NA NA 0 0
"992" NA NA NA NA 1 33 NA NA 0 0
"993" NA NA 2 NA 2 41 NA NA 0 0
"994" NA NA NA NA NA 36 NA NA 0 0
"995" NA NA 1 NA NA 36 NA NA 0 0
"996" NA NA 3 1 3 36 NA NA 0 0
"997" NA NA NA NA NA 57 3 NA 0 0
"998" NA 1 1 NA NA 22 NA NA 0 0
"999" NA NA NA NA NA 48 NA NA 0 0
"1000" NA NA NA NA NA 26 NA NA 0 0
"1001" NA NA NA NA NA 24 NA NA 0 0
"1002" NA NA NA NA NA 35 NA NA 0 0
"1003" NA 1 1 NA NA 32 NA 1 0 0
"1004" NA NA NA NA 1 46 NA NA 0 0
"1005" NA NA NA NA NA 38 NA NA 0 0
"1006" NA NA NA NA NA 36 NA NA 0 0
"1007" NA NA NA NA 1 31 NA NA 0 0
"1008" NA NA NA NA 2 42 1 NA 0 0
"1009" NA NA NA NA NA 23 NA NA 0 0
"1010" NA NA 1 NA 1 34 NA NA 0 0
"1011" NA NA 1 NA 2 27 NA NA 0 0
"1012" NA NA NA NA NA 35 NA NA 0 0
"1013" NA NA NA NA NA 37 NA NA 0 0
"1014" NA NA NA NA 1 32 NA NA 0 0
"1015" NA NA NA NA 2 42 NA NA 0 0
"1016" NA NA 1 1 1 42 NA NA 0 0
"1017" NA NA NA NA NA 24 NA NA 0 0
"1018" NA NA NA NA NA 37 NA NA 0 0
"1019" NA NA NA NA NA 30 NA NA 0 0
"1020" NA NA NA 1 NA 36 NA NA 0 0
"1021" NA NA 1 NA 1 30 NA NA 0 0
"1022" NA NA NA NA NA 48 NA NA 0 0
"1023" NA NA NA NA 1 27 NA NA 0 0
"1024" NA NA NA NA NA 25 NA NA 0 0
"1025" NA NA NA NA NA 32 1 NA 0 0
"1026" NA NA NA NA NA 37 NA NA 0 0
"1027" NA NA NA NA NA 27 NA NA 0 0
"1028" NA NA 3 NA 1 36 NA NA 0 0
"1029" NA NA NA NA NA 20 NA NA 0 0
"1030" NA NA NA NA NA 28 NA NA 0 0
"1031" NA NA 1 NA NA 28 NA NA 0 0
"1032" 1 NA 1 1 NA 37 NA NA 0 0
"1033" NA NA 1 NA 1 44 NA NA 0 0
"1034" NA NA NA NA 1 33 NA NA 0 0
"1035" NA NA 1 1 1 35 NA NA 0 0
"1036" NA NA NA NA 1 38 NA NA 0 0
"1037" NA NA NA 1 1 33 NA NA 0 0
"1038" NA NA NA 1 1 35 NA NA 0 0
"1039" 1 NA NA NA NA 36 NA NA 0 0
"1040" NA NA NA NA 1 21 NA NA 0 0
"1041" NA NA NA NA NA 29 NA NA 0 0
"1042" NA NA NA NA NA 40 NA NA 0 0
"1043" NA NA NA 1 NA 32 NA NA 0 0
"1044" NA NA NA NA NA 29 NA NA 0 0
"1045" NA NA NA NA NA 43 NA NA 0 0
"1046" NA NA NA NA NA 44 NA NA 0 0
"1047" NA NA NA NA NA 28 2 NA 0 0
"1048" NA 1 1 1 2 29 NA NA 0 0
"1049" NA NA NA NA NA 28 NA NA 0 0
"1050" NA NA 1 NA 1 21 NA NA 0 0
"1051" NA NA 1 1 1 44 NA NA 0 0
"1052" NA NA NA 1 NA 36 NA NA 0 0
"1053" NA NA NA NA NA 20 NA NA 0 0
"1054" NA NA NA NA NA 32 NA NA 0 0
"1055" NA NA NA 1 NA 27 NA NA 0 0
"1056" NA NA NA 1 NA 39 NA NA 0 0
"1057" NA NA NA NA NA 36 NA NA 0 0
"1058" NA NA NA NA NA 42 NA NA 0 0
"1059" 1 NA 1 1 NA 50 NA NA 0 0
"1060" NA NA NA NA 2 36 NA NA 0 0
"1061" NA NA NA NA NA 30 NA NA 0 0
"1062" 1 NA NA NA NA 33 NA NA 0 0
"1063" NA NA NA NA NA 39 NA NA 0 0
"1064" NA NA NA NA NA 53 NA NA 0 0
"1065" NA NA NA NA NA 29 NA NA 0 0
"1066" NA NA 1 NA NA 33 NA NA 0 0
"1067" NA NA 1 NA 1 38 NA NA 0 0
"1068" NA NA 1 NA 1 43 NA NA 0 0
"1069" NA NA NA 1 1 30 NA NA 0 0
"1070" NA NA NA NA NA 26 NA NA 0 0
"1071" NA NA 1 NA NA 31 NA NA 0 0
"1072" NA NA NA NA NA 39 NA NA 0 0
"1073" 1 NA NA NA NA 31 NA NA 0 0
"1074" NA 1 NA NA NA 27 NA NA 0 0
"1075" NA NA 3 1 1 37 NA NA 0 0
"1076" NA NA NA 1 1 37 NA NA 0 0
"1077" NA NA NA NA NA 31 1 NA 0 0
"1078" 1 NA NA 1 1 34 NA NA 0 0
"1079" NA NA 1 NA NA 42 NA NA 0 0
"1080" NA NA NA NA NA 50 NA NA 0 0
"1081" NA NA NA NA 1 31 NA NA 0 0
"1082" NA NA 1 NA NA 23 1 NA 0 0
"1083" NA NA NA 1 NA 33 NA NA 0 0
"1084" NA NA 2 NA 3 37 NA NA 0 0
"1085" NA NA NA 1 1 40 NA NA 0 0
"1086" NA NA NA NA NA 37 NA NA 0 0
"1087" NA NA NA NA NA 38 NA 1 0 0
"1088" NA NA NA NA 1 30 NA NA 0 0
