gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type
TY4B-H	YHL009W-B	Transposon Ty4-H Gag-Pol polyprotein	TY4A-H	YHL009W-A	Transposon Ty4-H Gag polyprotein	paralog
VMR1	YHL035C	ABC transporter ATP-binding protein/permease VMR1	YCF1	YDR135C	Metal resistance protein YCF1	paralog
NA	YHL042W	Putative uncharacterized protein YHL042W precursor	COS2	YBR302C	Protein COS2	paralog
NA	YHL042W	Putative uncharacterized protein YHL042W precursor	COS7	YDL248W	Protein COS7	paralog
NA	YHL042W	Putative uncharacterized protein YHL042W precursor	COS4	YFL062W	Protein COS4	paralog
NA	YHL042W	Putative uncharacterized protein YHL042W precursor	COS12	YGL263W	Protein COS12	paralog
NA	YHL042W	Putative uncharacterized protein YHL042W precursor	COS6	YGR295C	Protein COS6	paralog
ECM34	YHL043W	Protein ECM34	COS2	YBR302C	Protein COS2	paralog
ECM34	YHL043W	Protein ECM34	COS7	YDL248W	Protein COS7	paralog
ECM34	YHL043W	Protein ECM34	COS4	YFL062W	Protein COS4	paralog
ECM34	YHL043W	Protein ECM34	PRM8	YGL053W	Pheromone-regulated membrane protein 8	paralog
ECM34	YHL043W	Protein ECM34	COS12	YGL263W	Protein COS12	paralog
ECM34	YHL043W	Protein ECM34	COS6	YGR295C	Protein COS6	paralog
NA	YHL044W	DUP240 protein YHL044W	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
NA	YHL044W	DUP240 protein YHL044W	UIP3	YAR027W	ULP1-interacting protein 3	paralog
NA	YHL044W	DUP240 protein YHL044W	NA	YAR028W	DUP240 protein YAR028W	paralog
NA	YHL044W	DUP240 protein YHL044W	PRM9	YAR031W	Pheromone-regulated membrane protein 9	paralog
NA	YHL044W	DUP240 protein YHL044W	MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	paralog
NA	YHL044W	DUP240 protein YHL044W	COS2	YBR302C	Protein COS2	paralog
NA	YHL044W	DUP240 protein YHL044W	NA	YCR007C	DUP240 protein YCR007C	paralog
NA	YHL044W	DUP240 protein YHL044W	COS7	YDL248W	Protein COS7	paralog
NA	YHL044W	DUP240 protein YHL044W	COS4	YFL062W	Protein COS4	paralog
NA	YHL044W	DUP240 protein YHL044W	MST27	YGL051W	Multicopy suppressor of SEC21 protein 27	paralog
NA	YHL044W	DUP240 protein YHL044W	PRM8	YGL053W	Pheromone-regulated membrane protein 8	paralog
NA	YHL044W	DUP240 protein YHL044W	COS12	YGL263W	Protein COS12	paralog
NA	YHL044W	DUP240 protein YHL044W	COS6	YGR295C	Protein COS6	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU8	YAL068C	Seripauperin-8 precursor	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU24	YBR301W	Seripauperin-24 precursor	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU3	YCR104W	Seripauperin-3	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU10	YDR542W	Seripauperin-10 precursor	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU2	YEL049W	Seripauperin-2	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU5	YFL020C	Seripauperin-5	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU11	YGL261C	Seripauperin-11 precursor	paralog
PAU13	YHL046C	Seripauperin-13 precursor	PAU12	YGR294W	Seripauperin-12	paralog
ARN2	YHL047C	Siderophore iron transporter ARN2	ARN1	YHL040C	Siderophore iron transporter ARN1	paralog
COS8	YHL048W	Protein COS8	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
COS8	YHL048W	Protein COS8	UIP3	YAR027W	ULP1-interacting protein 3	paralog
COS8	YHL048W	Protein COS8	NA	YAR028W	DUP240 protein YAR028W	paralog
COS8	YHL048W	Protein COS8	PRM9	YAR031W	Pheromone-regulated membrane protein 9	paralog
COS8	YHL048W	Protein COS8	MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	paralog
COS8	YHL048W	Protein COS8	COS2	YBR302C	Protein COS2	paralog
COS8	YHL048W	Protein COS8	NA	YCR007C	DUP240 protein YCR007C	paralog
COS8	YHL048W	Protein COS8	COS7	YDL248W	Protein COS7	paralog
COS8	YHL048W	Protein COS8	COS4	YFL062W	Protein COS4	paralog
COS8	YHL048W	Protein COS8	MST27	YGL051W	Multicopy suppressor of SEC21 protein 27	paralog
COS8	YHL048W	Protein COS8	PRM8	YGL053W	Pheromone-regulated membrane protein 8	paralog
COS8	YHL048W	Protein COS8	COS12	YGL263W	Protein COS12	paralog
COS8	YHL048W	Protein COS8	COS6	YGR295C	Protein COS6	paralog
COS8	YHL048W	Protein COS8	NA	YHL042W	Putative uncharacterized protein YHL042W precursor	paralog
COS8	YHL048W	Protein COS8	ECM34	YHL043W	Protein ECM34	paralog
COS8	YHL048W	Protein COS8	NA	YHL044W	DUP240 protein YHL044W	paralog
NA	YHL049C	Uncharacterized protein YHL049C	NA	YBL111C	Uncharacterized helicase-like protein YBL111C	paralog
NA	YHL049C	Uncharacterized protein YHL049C	YRF1-1	YDR545W	Y' element ATP-dependent helicase protein 1 copy 1	paralog
NA	YHL049C	Uncharacterized protein YHL049C	NA	YEL075C	Uncharacterized protein YEL075C	paralog
NA	YHL049C	Uncharacterized protein YHL049C	NA	YER189W	Uncharacterized protein YER189W	paralog
NA	YHL049C	Uncharacterized protein YHL049C	YRF1-2	YER190W	Y' element ATP-dependent helicase protein 1 copy 2	paralog
NA	YHL049C	Uncharacterized protein YHL049C	NA	YFL064C	Uncharacterized protein YFL064C	paralog
NA	YHL049C	Uncharacterized protein YHL049C	NA	YFL065C	Uncharacterized protein YFL065C	paralog
NA	YHL049C	Uncharacterized protein YHL049C	YRF1-3	YGR296W	Y' element ATP-dependent helicase protein 1 copy 3	paralog
NA	YHL050C	Uncharacterized protein YHL050C	NA	YBL113C	Uncharacterized protein YBL113C	paralog
NA	YHL050C	Uncharacterized protein YHL050C	YRF1-1	YDR545W	Y' element ATP-dependent helicase protein 1 copy 1	paralog
NA	YHL050C	Uncharacterized protein YHL050C	NA	YEL077C	Y' element ATP-dependent helicase YEL077C	paralog
NA	YHL050C	Uncharacterized protein YHL050C	YRF1-2	YER190W	Y' element ATP-dependent helicase protein 1 copy 2	paralog
NA	YHL050C	Uncharacterized protein YHL050C	NA	YFL066C	Y' element ATP-dependent helicase YFL066C	paralog
NA	YHL050C	Uncharacterized protein YHL050C	YRF1-3	YGR296W	Y' element ATP-dependent helicase protein 1 copy 3	paralog
STP2	YHR006W	Transcription factor STP2 precursor	STP1	YDR463W	Transcription factor STP1 precursor	ohnolog
RPL27A	YHR010W	60S ribosomal protein L27-A	RPL27B	YDR471W	60S ribosomal protein L27-B	ohnolog, paralog
MIP6	YHR015W	RNA-binding protein MIP6	PES4	YFR023W	Protein PES4	ohnolog
YSC84	YHR016C	Protein YSC84	LSB3	YFR024C-A	LAS seventeen-binding protein 3	ohnolog
NA	YHR033W	Uncharacterized protein YHR033W	PRO1	YDR300C	Glutamate 5-kinase	ohnolog
DOG1	YHR044C	2-deoxyglucose-6-phosphate phosphatase 1	DOG2	YHR043C	2-deoxyglucose-6-phosphate phosphatase 2	paralog
CUP1-2	YHR055C	Copper metallothionein 1-2 precursor	CUP1-1	YHR053C	Copper metallothionein 1-1 precursor	paralog
RSC30	YHR056C	Chromatin structure-remodeling complex protein RSC30	RSC3	YDR303C	Chromatin structure-remodeling complex protein RSC3	ohnolog
RSC30	YHR056C	Chromatin structure-remodeling complex protein RSC30	NA	YHR054C	Uncharacterized protein YHR054C	paralog
CPR2	YHR057C	Peptidyl-prolyl cis-trans isomerase B precursor	CPR5	YDR304C	Peptidyl-prolyl cis-trans isomerase D precursor	ohnolog
GIC1	YHR061C	GTPase-interacting component 1	GIC2	YDR309C	GTPase-interacting component 2	ohnolog
SSF1	YHR066W	Ribosome biogenesis protein SSF1	SSF2	YDR312W	Ribosome biogenesis protein SSF2	ohnolog, paralog
LAM4	YHR080C	Membrane-anchored lipid-binding protein LAM4 {ECO:0000303|PubMed:26001273}	YSP2	YDR326C	Membrane-anchored lipid-binding protein YSP2 {ECO:0000303|PubMed:26001273}	ohnolog, paralog
MSR1	YHR091C	Arginine--tRNA ligase, mitochondrial precursor	NA	YDR341C	Arginine--tRNA ligase, cytoplasmic	ohnolog, paralog
HXT4	YHR092C	Low-affinity glucose transporter HXT4	HXT7	YDR342C	High-affinity hexose transporter HXT6	ohnolog, paralog
HXT4	YHR092C	Low-affinity glucose transporter HXT4	HXT6	YDR343C	High-affinity hexose transporter HXT6	paralog
HXT4	YHR092C	Low-affinity glucose transporter HXT4	HXT3	YDR345C	Low-affinity glucose transporter HXT3	paralog
HXT4	YHR092C	Low-affinity glucose transporter HXT4	HXT13	YEL069C	Hexose transporter HXT13	paralog
HXT4	YHR092C	Low-affinity glucose transporter HXT4	HXT10	YFL011W	Hexose transporter HXT10	paralog
HXT1	YHR094C	Low-affinity glucose transporter HXT1	HXT15	YDL245C	Hexose transporter HXT15	paralog
HXT1	YHR094C	Low-affinity glucose transporter HXT1	HXT7	YDR342C	High-affinity hexose transporter HXT6	paralog
HXT1	YHR094C	Low-affinity glucose transporter HXT1	HXT6	YDR343C	High-affinity hexose transporter HXT6	ohnolog, paralog
HXT1	YHR094C	Low-affinity glucose transporter HXT1	HXT3	YDR345C	Low-affinity glucose transporter HXT3	paralog
HXT1	YHR094C	Low-affinity glucose transporter HXT1	HXT13	YEL069C	Hexose transporter HXT13	paralog
HXT1	YHR094C	Low-affinity glucose transporter HXT1	HXT10	YFL011W	Hexose transporter HXT10	paralog
HXT1	YHR094C	Low-affinity glucose transporter HXT1	HXT4	YHR092C	Low-affinity glucose transporter HXT4	paralog
HXT5	YHR096C	Probable glucose transporter HXT5	HXT7	YDR342C	High-affinity hexose transporter HXT6	paralog
HXT5	YHR096C	Probable glucose transporter HXT5	HXT6	YDR343C	High-affinity hexose transporter HXT6	paralog
HXT5	YHR096C	Probable glucose transporter HXT5	HXT3	YDR345C	Low-affinity glucose transporter HXT3	ohnolog, paralog
HXT5	YHR096C	Probable glucose transporter HXT5	HXT10	YFL011W	Hexose transporter HXT10	paralog
HXT5	YHR096C	Probable glucose transporter HXT5	HXT4	YHR092C	Low-affinity glucose transporter HXT4	paralog
HXT5	YHR096C	Probable glucose transporter HXT5	HXT1	YHR094C	Low-affinity glucose transporter HXT1	paralog
NA	YHR097C	Uncharacterized protein YHR097C	PAL1	YDR348C	Protein PAL1	ohnolog
SBE22	YHR103W	Protein SBE22	SBE2	YDR351W	Protein SBE2	ohnolog
TRR2	YHR106W	Thioredoxin reductase 2, mitochondrial precursor	TRR1	YDR353W	Thioredoxin reductase 1	ohnolog
GGA2	YHR108W	ADP-ribosylation factor-binding protein GGA2	GGA1	YDR358W	ADP-ribosylation factor-binding protein GGA1	ohnolog
SKG6	YHR149C	Protein SKG6	TOS2	YGR221C	Protein TOS2	ohnolog
SPO12	YHR152W	Sporulation-specific protein 12	BNS1	YGR230W	Protein BNS1	ohnolog
KEL1	YHR158C	Kelch repeat-containing protein 1	KEL2	YGR238C	Kelch repeat-containing protein 2	ohnolog
PEX18	YHR160C	Peroxisomal membrane protein PEX18	PEX21	YGR239C	Peroxisomal membrane protein PEX21	ohnolog
YAP1801	YHR161C	Clathrin coat assembly protein AP180A	YAP1802	YGR241C	Clathrin coat assembly protein AP180B	ohnolog, paralog
MPC2	YHR162W	Mitochondrial pyruvate carrier 2 {ECO:0000303|PubMed:22628554, ECO:0000303|PubMed:22628558}	MPC3	YGR243W	Mitochondrial pyruvate carrier 3 {ECO:0000303|PubMed:22628554, ECO:0000303|PubMed:22628558} precursor	ohnolog
SOL3	YHR163W	6-phosphogluconolactonase 3	SOL4	YGR248W	6-phosphogluconolactonase 4	ohnolog
ENO2	YHR174W	Enolase 2	ENO1	YGR254W	Enolase 1	ohnolog, paralog
GND1	YHR183W	6-phosphogluconate dehydrogenase, decarboxylating 1	GND2	YGR256W	6-phosphogluconate dehydrogenase, decarboxylating 2	ohnolog, paralog
FLO5	YHR211W	Flocculation protein FLO5 precursor	FLO9	YAL063C	Flocculation protein FLO9 precursor	paralog
FLO5	YHR211W	Flocculation protein FLO5 precursor	FLO1	YAR050W	Flocculation protein FLO1 precursor	paralog
NA	YHR212W-A	Uncharacterized protein YHR212W-A	NA	YFL051C	Uncharacterized membrane protein YFL051C precursor	paralog
NA	YHR213W	Uncharacterized protein YHR213W	TDA8	YAL064C-A	Topoisomerase I damage affected protein 8	paralog
NA	YHR213W-B	Uncharacterized protein YHR213W-B	NA	YAR064W	Uncharacterized protein YAR064W	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY2B-DR2	YDR210W-B	Transposon Ty2-DR2 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-DR4	YDR261C-C	Transposon Ty1-DR4 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-DR4	YDR261C-D	Transposon Ty1-DR4 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY2B-DR3	YDR261W-B	Transposon Ty2-DR3 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-DR5	YDR316W-A	Transposon Ty1-DR5 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-DR5	YDR316W-B	Transposon Ty1-DR5 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-DR6	YDR365W-A	Transposon Ty1-DR6 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-DR6	YDR365W-B	Transposon Ty1-DR6 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-ER1	YER137C-A	Transposon Ty1-ER1 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-ER1	YER138C	Transposon Ty1-ER1 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-ER2	YER159C-A	Transposon Ty1-ER2 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-ER2	YER160C	Transposon Ty1-ER2 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY2B-F	YFL002W-A	Transposon Ty2-F Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-GR1	YGR027W-A	Transposon Ty1-GR1 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-GR1	YGR027W-B	Transposon Ty1-GR1 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-GR2	YGR038C-A	Transposon Ty1-GR2 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-GR2	YGR038C-B	Transposon Ty1-GR2 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1A-GR3	YGR161C-C	Transposon Ty1-GR3 Gag polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY1B-GR3	YGR161C-D	Transposon Ty1-GR3 Gag-Pol polyprotein	paralog
TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	TY2B-GR2	YGR161W-B	Transposon Ty2-GR2 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-DR4	YDR261C-C	Transposon Ty1-DR4 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-DR4	YDR261C-D	Transposon Ty1-DR4 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY2A-DR3	YDR261W-A	Transposon Ty2-DR3 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-DR5	YDR316W-A	Transposon Ty1-DR5 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-DR5	YDR316W-B	Transposon Ty1-DR5 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-DR6	YDR365W-A	Transposon Ty1-DR6 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-DR6	YDR365W-B	Transposon Ty1-DR6 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-ER1	YER137C-A	Transposon Ty1-ER1 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-ER1	YER138C	Transposon Ty1-ER1 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-ER2	YER159C-A	Transposon Ty1-ER2 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-ER2	YER160C	Transposon Ty1-ER2 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY2A-F	YFL002W-B	Transposon Ty2-F Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-GR1	YGR027W-A	Transposon Ty1-GR1 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-GR1	YGR027W-B	Transposon Ty1-GR1 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-GR2	YGR038C-A	Transposon Ty1-GR2 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-GR2	YGR038C-B	Transposon Ty1-GR2 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1A-GR3	YGR161C-C	Transposon Ty1-GR3 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-GR3	YGR161C-D	Transposon Ty1-GR3 Gag-Pol polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY2A-GR2	YGR161W-A	Transposon Ty2-GR2 Gag polyprotein	paralog
TY1A-H	YHR214C-C	Transposon Ty1-H Gag polyprotein	TY1B-H	YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein	paralog
NA	YHR214W	Putative GPI-anchored protein YHR214W precursor	NA	YAR066W	Putative GPI-anchored protein YAR066W precursor	paralog
PHO12	YHR215W	Acid phosphatase PHO12 precursor	PHO11	YAR071W	Acid phosphatase PHO11 precursor	paralog
PHO12	YHR215W	Acid phosphatase PHO12 precursor	PHO3	YBR092C	Constitutive acid phosphatase precursor	paralog
PHO12	YHR215W	Acid phosphatase PHO12 precursor	PHO5	YBR093C	Repressible acid phosphatase precursor	paralog
PHO12	YHR215W	Acid phosphatase PHO12 precursor	DIA3	YDL024C	Probable acid phosphatase DIA3 precursor	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	NA	YBL111C	Uncharacterized helicase-like protein YBL111C	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	YRF1-1	YDR545W	Y' element ATP-dependent helicase protein 1 copy 1	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	NA	YEL077C	Y' element ATP-dependent helicase YEL077C	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	YRF1-2	YER190W	Y' element ATP-dependent helicase protein 1 copy 2	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	NA	YFL065C	Uncharacterized protein YFL065C	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	NA	YFL066C	Y' element ATP-dependent helicase YFL066C	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	YRF1-3	YGR296W	Y' element ATP-dependent helicase protein 1 copy 3	paralog
NA	YHR218W	Putative uncharacterized protein YHR218W	NA	YHL049C	Uncharacterized protein YHL049C	paralog
NA	YHR219W	Putative uncharacterized protein YHR219W	NA	YBL113C	Uncharacterized protein YBL113C	paralog
NA	YHR219W	Putative uncharacterized protein YHR219W	YRF1-1	YDR545W	Y' element ATP-dependent helicase protein 1 copy 1	paralog
NA	YHR219W	Putative uncharacterized protein YHR219W	NA	YEL077C	Y' element ATP-dependent helicase YEL077C	paralog
NA	YHR219W	Putative uncharacterized protein YHR219W	YRF1-2	YER190W	Y' element ATP-dependent helicase protein 1 copy 2	paralog
NA	YHR219W	Putative uncharacterized protein YHR219W	YRF1-3	YGR296W	Y' element ATP-dependent helicase protein 1 copy 3	paralog
NA	YHR219W	Putative uncharacterized protein YHR219W	NA	YHL050C	Uncharacterized protein YHL050C	paralog
YIA6	YIL006W	Mitochondrial nicotinamide adenine dinucleotide transporter 1	YEA6	YEL006W	Mitochondrial nicotinamide adenine dinucleotide transporter 2	ohnolog
PDR11	YIL013C	ATP-dependent permease PDR11	SNQ2	YDR011W	Protein SNQ2	paralog
PDR11	YIL013C	ATP-dependent permease PDR11	PDR15	YDR406W	ATP-dependent permease PDR15	paralog
RPL2B	YIL018W	60S ribosomal protein L2-B	RPL2A	YFR031C-A	60S ribosomal protein L2-A	ohnolog, paralog
CST6	YIL036W	ATF/CREB activator 2	ACA1	YER045C	ATF/CREB activator 1	ohnolog
PIG2	YIL045W	GSY2-interacting protein PIG2	GIP2	YER054C	GLC7-interacting protein 2	ohnolog
PCL7	YIL050W	PHO85 cyclin-7	PCL6	YER059W	PHO85 cyclin-6	ohnolog
MMF1	YIL051C	Protein MMF1, mitochondrial precursor	HMF1	YER057C	Protein HMF1	ohnolog
RPL34B	YIL052C	60S ribosomal protein L34-B	RPL34A	YER056C-A	60S ribosomal protein L34-A	ohnolog, paralog
GPP1	YIL053W	Glycerol-1-phosphate phosphohydrolase 1 {ECO:0000305}	GPP2	YER062C	Glycerol-1-phosphate phosphohydrolase 2 {ECO:0000305}	ohnolog, paralog
VHR1	YIL056W	Transcription factor VHR1	VHR2	YER064C	Transcription factor VHR2	ohnolog
RGI2	YIL057C	Respiratory growth induced protein 2	RGI1	YER067W	Respiratory growth induced protein 1	ohnolog
NA	YIL060W	Uncharacterized protein YIL060W	NA	YER138W-A	Putative uncharacterized protein YER138W-A	paralog
RNR3	YIL066C	Ribonucleoside-diphosphate reductase large chain 2	RNR1	YER070W	Ribonucleoside-diphosphate reductase large chain 1	ohnolog, paralog
RPS24B	YIL069C	40S ribosomal protein S24-B	RPS24A	YER074W	40S ribosomal protein S24-A	ohnolog, paralog
SER33	YIL074C	D-3-phosphoglycerate dehydrogenase 2	SER3	YER081W	D-3-phosphoglycerate dehydrogenase 1	ohnolog, paralog
AIR1	YIL079C	Protein AIR1	AIR2	YDL175C	Protein AIR2	ohnolog
