regulator_gene_name	regulator_oln_id	regulator_gene_description	target_gene_name	target_oln_id	target_gene_description	gene_expression_evidence	binding_evidence	combinatorial_evidence	regulation_direction	pubmed_id
UME6	YDR207C	Transcriptional regulatory protein UME6	ATP20	YPR020W	ATP synthase subunit g, mitochondrial	1	1	0	inactivates	20385592,22720667
UME6	YDR207C	Transcriptional regulatory protein UME6	NA	YPR027C	Uncharacterized membrane protein YPR027C	1	1	0	inactivates	20385592,22720667
UME6	YDR207C	Transcriptional regulatory protein UME6	APL4	YPR029C	AP-1 complex subunit gamma-1	1	1	0	activates	16522208,20385592
UME6	YDR207C	Transcriptional regulatory protein UME6	NA	YPR063C	Uncharacterized protein YPR063C	0	2	0		21329885,22720667
UME6	YDR207C	Transcriptional regulatory protein UME6	CLB5	YPR120C	S-phase entry cyclin-5	0	2	0		21329885,22720667
ADR1	YDR216W	Regulatory protein ADR1	FUN26	YAL022C	Nucleoside transporter FUN26	0	2	0		12399584,16522208
ADR1	YDR216W	Regulatory protein ADR1	TIP1	YBR067C	Temperature shock-inducible protein 1 precursor	1	1	0	activates	20385592,22720667
ADR1	YDR216W	Regulatory protein ADR1	SPL2	YHR136C	Putative cyclin-dependent kinase inhibitor SPL2	1	1	0	inactivates	20385592,22720667
ADR1	YDR216W	Regulatory protein ADR1	ARO9	YHR137W	Aromatic amino acid aminotransferase 2	1	1	0	inactivates	20385592,22720667
MET32	YDR253C	Transcriptional regulator MET32	CYS3	YAL012W	Cystathionine gamma-lyase	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	CLN3	YAL040C	G1/S-specific cyclin CLN3	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	GAL10	YBR019C	Bifunctional protein GAL10	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	GAL1	YBR020W	Galactokinase	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MET8	YBR213W	Siroheme biosynthesis protein MET8	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	SUL1	YBR294W	Sulfate permease 1	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	PHO89	YBR296C	Phosphate permease PHO89	1	1	0	inactivates	20385592,22438580
MET32	YDR253C	Transcriptional regulator MET32	PSA1	YDL055C	Mannose-1-phosphate guanyltransferase	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	USO1	YDL058W	Intracellular protein transport protein USO1	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	RAD59	YDL059C	DNA repair protein RAD59	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET32	YDR253C	Transcriptional regulator MET32	1	2	0	activates	20385592,22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	CHL4	YDR254W	Central kinetochore subunit CHL4	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	SAM2	YDR502C	S-adenosylmethionine synthase 2	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MET6	YER091C	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	AGP3	YFL055W	General amino acid permease AGP3	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MET10	YFR030W	Sulfite reductase [NADPH] flavoprotein component	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET13	YGL125W	Methylenetetrahydrofolate reductase 2	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	STR3	YGL184C	Cystathionine beta-lyase	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MUP1	YGR055W	High-affinity methionine permease	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	GTO1	YGR154C	Glutathione S-transferase omega-like 1	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	CYS4	YGR155W	Cystathionine beta-synthase	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	ADE3	YGR204W	C-1-tetrahydrofolate synthase, cytoplasmic	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	ENO1	YGR254W	Enolase 1	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MUP3	YHL036W	Low-affinity methionine permease	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	SAM35	YHR083W	Sorting assembly machinery 35 kDa subunit	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	NA	YHR112C	Uncharacterized trans-sulfuration enzyme YHR112C	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	APE4	YHR113W	Aspartyl aminopeptidase 4	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	SPL2	YHR136C	Putative cyclin-dependent kinase inhibitor SPL2	1	1	0	inactivates	20385592,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET30	YIL046W	F-box protein MET30	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MET28	YIR017C	Transcriptional activator of sulfur metabolism MET28	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	YAP5	YIR018W	AP-1-like transcription factor YAP5	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	BNA3	YJL060W	Probable kynurenine--oxoglutarate transaminase BNA3	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	LSB6	YJL100W	Phosphatidylinositol 4-kinase LSB6	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	GSH1	YJL101C	Glutamate--cysteine ligase	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MET3	YJR010W	Sulfate adenylyltransferase {ECO:0000255|HAMAP-Rule:MF_03106}	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET5	YJR137C	Sulfite reductase [NADPH] subunit beta	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	IML1	YJR138W	Vacuolar membrane-associated protein IML1	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET14	YKL001C	Adenylyl-sulfate kinase	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	SUL2	YLR092W	Sulfate permease 2	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	NA	YLR179C	Uncharacterized protein YLR179C	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	SAM1	YLR180W	S-adenosylmethionine synthase 1	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET17	YLR303W	Protein MET17	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	TMA10	YLR327C	Translation machinery-associated protein 10	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	NA	YMR194C-A	Putative uncharacterized protein YMR194C-A	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	YGP1	YNL160W	Protein YGP1 precursor	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	DUG3	YNL191W	Probable glutamine amidotransferase DUG3	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	NA	YNL208W	Uncharacterized protein YNL208W	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	ZWF1	YNL241C	Glucose-6-phosphate 1-dehydrogenase	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	MET2	YNL277W	Homoserine O-acetyltransferase	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET22	YOL064C	3'(2'),5'-bisphosphate nucleotidase	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	AKR2	YOR034C	Probable palmitoyltransferase AKR2	2	1	0	activates	17417638,20385592,22438580
MET32	YDR253C	Transcriptional regulator MET32	SWI1	YPL016W	SWI/SNF chromatin-remodeling complex subunit SWI1	1	1	0	activates	20385592,22438580
MET32	YDR253C	Transcriptional regulator MET32	LEE1	YPL054W	Zinc finger protein LEE1	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	LGE1	YPL055C	Transcriptional regulatory protein LGE1	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	GRE1	YPL223C	Protein GRE1	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	ICY2	YPL250C	Protein ICY2	0	2	0		22438580,22720667
MET32	YDR253C	Transcriptional regulator MET32	NA	YPR150W	Putative uncharacterized protein YPR150W	1	1	0	activates	17417638,22438580
MET32	YDR253C	Transcriptional regulator MET32	MET16	YPR167C	Phosphoadenosine phosphosulfate reductase	0	2	0		16522208,22438580
MET32	YDR253C	Transcriptional regulator MET32	NUT2	YPR168W	Mediator of RNA polymerase II transcription subunit 10	0	2	0		16522208,22438580
YAP6	YDR259C	AP-1-like transcription factor YAP6	RPL19B	YBL027W	60S ribosomal protein L19-B	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YBL028C	UPF0642 protein YBL028C	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YBL029W	Uncharacterized protein YBL029W	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	PET9	YBL030C	ADP,ATP carrier protein 2	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	OLA1	YBR025C	Obg-like ATPase 1 {ECO:0000255|HAMAP-Rule:MF_03167}	0	2	0		16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	PHO5	YBR093C	Repressible acid phosphatase precursor	1	1	0	inactivates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	PHO89	YBR296C	Phosphate permease PHO89	1	1	0	inactivates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	MFG1	YDL233W	Morphogenetic regulator of filamentous growth protein 1	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YDR061W	Uncharacterized ABC transporter ATP-binding protein YDR061W	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	SED1	YDR077W	Cell wall protein SED1 precursor	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	BMH2	YDR099W	Protein BMH2	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	MRX10	YDR282C	MIOREX complex component 10 {ECO:0000305|PubMed:25683707} precursor	1	1	0	inactivates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	APT2	YDR441C	Adenine phosphoribosyltransferase 2	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YDR442W	Putative uncharacterized protein YDR442W	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	MIT1	YEL007W	Transcriptional regulator MIT1	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	UTR2	YEL040W	Probable glycosidase CRH2 precursor	0	2	0		21329885,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	IES6	YEL044W	Chromatin-remodeling complex subunit IES6	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YEL045C	Uncharacterized protein YEL045C	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	DSF1	YEL070W	Mannitol dehydrogenase DSF1	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YER039C-A	Uncharacterized protein YER039C-A	1	1	0	inactivates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	ACA1	YER045C	ATF/CREB activator 1	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	OXA1	YER154W	Mitochondrial inner membrane protein OXA1 {ECO:0000305} precursor	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	VTC2	YFL004W	Vacuolar transporter chaperone 2	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YGR146C-A	Uncharacterized protein YGR146C-A	0	2	0		16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	KEL2	YGR238C	Kelch repeat-containing protein 2	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	MGA1	YGR249W	Protein MGA1	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YHR127W	Uncharacterized protein YHR127W	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	POG1	YIL122W	Transcriptional activator POG1	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	UBP7	YIL156W	Ubiquitin carboxyl-terminal hydrolase 7	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	IMA3	YIL172C	Oligo-1,6-glucosidase IMA3	1	1	0	inactivates	12399584,20385592
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YIR014W	Putative uncharacterized protein YIR014W	0	2	0		21329885,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YIR018C-A	Uncharacterized protein YIR018C-A	0	2	0		16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	IMA5	YJL216C	Oligo-1,6-glucosidase IMA5	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	HXT9	YJL219W	Hexose transporter HXT9	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	RPL43B	YJR094W-A	60S ribosomal protein L43-B	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	RPS4A	YJR145C	40S ribosomal protein S4-A	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YJR146W	Uncharacterized protein YJR146W	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	HMS2	YJR147W	Probable transcription factor HMS2	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	HXT16	YJR158W	Hexose transporter HXT16	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YKL044W	Uncharacterized protein YKL044W	1	2	0	inactivates	12399584,20385592,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	RRP14	YKL082C	Ribosomal RNA-processing protein 14	1	1	0	inactivates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	KTI12	YKL110C	Protein KTI12	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	SIR1	YKR101W	Regulatory protein SIR1	1	1	0	inactivates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	RPL10	YLR075W	60S ribosomal protein L10	0	2	0		21329885,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	YPS3	YLR121C	Aspartic proteinase yapsin-3 precursor	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YLR413W	Cell membrane protein YLR413W precursor	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	ATR1	YML116W	Aminotriazole resistance protein	0	3	0		12399584,21329885,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	SPO20	YMR017W	Sporulation-specific protein 20	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YMR034C	Uncharacterized membrane protein YMR034C	1	1	0	inactivates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	GAT2	YMR136W	Protein GAT2	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	MMT1	YMR177W	Mitochondrial metal transporter 1 precursor	0	2	0		16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	HSC82	YMR186W	ATP-dependent molecular chaperone HSC82	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YMR315W	Uncharacterized protein YMR315W	0	2	0		16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	RPS3	YNL178W	40S ribosomal protein S3	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	RHO5	YNL180C	GTP-binding protein RHO5 precursor	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	CAF40	YNL288W	Protein CAF40	0	2	0		16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	MSB3	YNL293W	GTPase-activating protein GYP3	1	1	0	activates	20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	DSE4	YNR067C	Endo-1,3(4)-beta-glucanase 1 precursor	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	HXT11	YOL156W	Hexose transporter HXT11	1	2	0	inactivates	12399584,20385592,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	IMA2	YOL157C	Oligo-1,6-glucosidase IMA2	0	2	0		12399584,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	CIN5	YOR028C	AP-1-like transcription factor YAP4	1	2	0	inactivates	12399584,20385592,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YPR013C	Zinc finger protein YPR013C	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	RSB1	YOR049C	Sphingoid long-chain base transporter RSB1	0	3	0		12399584,16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	GAC1	YOR178C	Serine/threonine-protein phosphatase 1 regulatory subunit GAC1	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	DCI1	YOR180C	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase	0	2	0		12399584,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YPR063C	Uncharacterized protein YPR063C	0	2	0		16522208,21329885
YAP6	YDR259C	AP-1-like transcription factor YAP6	ROX1	YPR065W	Repressor ROX1	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	NA	YPR148C	Uncharacterized protein YPR148C	0	2	0		12399584,16522208
YAP6	YDR259C	AP-1-like transcription factor YAP6	NCE102	YPR149W	Non-classical export protein 2	0	2	0		12399584,16522208
MTH1	YDR277C	Protein MTH1	GND1	YHR183W	6-phosphogluconate dehydrogenase, decarboxylating 1	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	LDS1	YAL018C	Outer spore wall protein LDS1 {ECO:0000305|PubMed:23966878}	3	1	0	inactivates	17417638,20385592,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	PMT2	YAL023C	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 {ECO:0000305}	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	MIX23	YBL107C	Mitochondrial intermembrane space cysteine motif-containing protein MIX23	1	1	0	inactivates	20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	GIP1	YBR045C	GLC7-interacting protein 1	3	1	0	inactivates	17417638,20385592,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	ECM8	YBR076W	Protein ECM8	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	YSW1	YBR148W	Spore-specific protein YSW1	2	2	0	inactivates	12399584,16522208,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	DTR1	YBR180W	Dityrosine transporter 1	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	SPO23	YBR250W	Sporulation protein 23	2	1	0	inactivates	17417638,20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	SPS22	YCL048W	Sporulation-specific protein 22 precursor	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YCL049C	Uncharacterized protein YCL049C precursor	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	RRT12	YCR045C	Subtilase-type proteinase RRT12 precursor	1	1	0	inactivates	22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	MPS1	YDL028C	Serine/threonine-protein kinase MPS1	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YDL114W	Uncharacterized oxidoreductase YDL114W	1	1	0	inactivates	22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YDL186W	Uncharacterized protein YDL186W	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	PPH22	YDL188C	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YDR042C	Uncharacterized protein YDR042C	2	2	0	inactivates	12399584,16522208,17417638,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	SPR28	YDR218C	Sporulation-regulated protein 28	1	1	0	inactivates	22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	PHM6	YDR281C	Phosphate metabolism protein 6	2	1	0	inactivates	16522208,17417638,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	SUM1	YDR310C	Suppressor of mar1-1 protein	1	2	0	activates	12399584,16522208,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	TFB1	YDR311W	RNA polymerase II transcription factor B subunit 1	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	MRPL35	YDR322W	54S ribosomal protein L35, mitochondrial precursor	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	DIT2	YDR402C	Cytochrome P450-DIT2	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	DIT1	YDR403W	Spore wall maturation protein DIT1	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	SPS2	YDR522C	Sporulation-specific protein 2 precursor	1	2	0	inactivates	12399584,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	SPS1	YDR523C	Sporulation-specific protein 1	1	2	0	inactivates	12399584,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YER085C	Uncharacterized protein YER085C	2	1	0	inactivates	17417638,20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	MAM1	YER106W	Monopolin complex subunit MAM1	2	1	0	inactivates	17417638,20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	MAG1	YER142C	DNA-3-methyladenine glycosylase	1	1	0	inactivates	20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	AUA1	YFL010W-A	Ammonia regulation of amino acid uptake protein	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YFL040W	Probable metabolite transport protein YFL040W	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	PES4	YFR023W	Protein PES4	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	RRT5	YFR032C	Regulator of rDNA transcription protein 5	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	BNA6	YFR047C	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	1	1	0	inactivates	20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YGL015C	Uncharacterized protein YGL015C	3	1	0	inactivates	17417638,20385592,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	SEC27	YGL137W	Coatomer subunit beta'	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YGL138C	Uncharacterized protein YGL138C	2	2	0	inactivates	12399584,16522208,17417638,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	SPO74	YGL170C	Sporulation-specific protein 74	1	2	0	inactivates	12399584,16522208,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	SPR3	YGR059W	Sporulation-regulated protein 3	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	GND2	YGR256W	6-phosphogluconate dehydrogenase, decarboxylating 2	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	RAD2	YGR258C	DNA repair protein RAD2	1	2	0	inactivates	12399584,16522208,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	TNA1	YGR260W	High-affinity nicotinic acid transporter	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YGR273C	Uncharacterized protein YGR273C	1	1	0	inactivates	20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	LAG1	YHL003C	Sphingosine N-acyltransferase LAG1	1	1	0	activates	20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	MIP6	YHR015W	RNA-binding protein MIP6	1	1	0	inactivates	22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	CUP1-1	YHR053C	Copper metallothionein 1-1 precursor	1	1	0	inactivates	20385592,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	ANS1	YHR126C	Probable GPI-anchored protein ANS1 precursor	3	1	0	inactivates	17417638,20385592,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	SSP1	YHR184W	Sporulation-specific protein 1	2	1	0	inactivates	16522208,17417638,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	PFS1	YHR185C	Prospore formation at selected spindle poles protein 1	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	DAL1	YIR027C	Allantoinase	2	2	0	inactivates	12399584,16522208,17417638,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	DAL4	YIR028W	Allantoin permease	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	IRC18	YJL037W	Outer spore wall protein 6 {ECO:0000303|PubMed:23966878} precursor	2	2	0	inactivates	12399584,20385592,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	LOH1	YJL038C	Outer spore wall protein 4 {ECO:0000303|PubMed:19779569} precursor	3	2	0	inactivates	12399584,17417638,20385592,22720667,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	NA	YJL043W	Uncharacterized protein YJL043W	1	1	0	inactivates	16522208,20385592
SUM1	YDR310C	Suppressor of mar1-1 protein	BNA1	YJR025C	3-hydroxyanthranilate 3,4-dioxygenase {ECO:0000255|HAMAP-Rule:MF_03019}	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
SUM1	YDR310C	Suppressor of mar1-1 protein	TY1A-JR1	YJR026W	Transposon Ty1-JR1 Gag polyprotein	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	TY1B-JR1	YJR027W	Transposon Ty1-JR1 Gag-Pol polyprotein	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	MIR1	YJR077C	Mitochondrial phosphate carrier protein	0	2	0		12399584,16522208
SUM1	YDR310C	Suppressor of mar1-1 protein	BNA2	YJR078W	Indoleamine 2,3-dioxygenase	3	2	0	inactivates	12399584,16522208,17417638,20385592,24766815
