kinase_gene_name	kinase_oln_id	kinase_gene_description	target_gene_name	target_oln_id	target_gene_description	score
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	7.70451
CDC28	YBR160W	Cyclin-dependent kinase 1	APC9	YLR102C	Anaphase-promoting complex subunit 9	7.69738
CKA1	YIL035C	Casein kinase II subunit alpha	CKB2	YOR039W	Casein kinase II subunit beta'	7.696139
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	PKC1	YBL105C	Protein kinase C-like 1	7.59775
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	HTA1	YDR225W	Histone H2A.1	7.57195
GIN4	YDR507C	Serine/threonine-protein kinase GIN4	HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	7.55615
CDC28	YBR160W	Cyclin-dependent kinase 1	BOP3	YNL042W	Protein BOP3	7.48946
AKL1	YBR059C	Serine/threonine-protein kinase AKL1	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	7.48185
STE11	YLR362W	Serine/threonine-protein kinase STE11	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	7.464191
GIN4	YDR507C	Serine/threonine-protein kinase GIN4	SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	7.46214
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDC12	YHR107C	Cell division control protein 12	7.447618
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	RHO1	YPR165W	GTP-binding protein RHO1 precursor	7.44291
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	DBF4	YDR052C	DDK kinase regulatory subunit DBF4	7.43716
CDC28	YBR160W	Cyclin-dependent kinase 1	BNI4	YNL233W	Protein BNI4	7.41969
PRK1	YIL095W	Actin-regulating kinase PRK1	YAP1801	YHR161C	Clathrin coat assembly protein AP180A	7.39541
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	HSP82	YPL240C	ATP-dependent molecular chaperone HSP82	7.391871
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	7.337321
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	KDX1	YKL161C	Serine/threonine-protein kinase KDX1	7.32685
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PTP2	YOR208W	Tyrosine-protein phosphatase 2	7.317611
PBS2	YJL128C	MAP kinase kinase PBS2	STE11	YLR362W	Serine/threonine-protein kinase STE11	7.317611
GIN4	YDR507C	Serine/threonine-protein kinase GIN4	KCC4	YCL024W	Probable serine/threonine-protein kinase KCC4	7.28878
CDC28	YBR160W	Cyclin-dependent kinase 1	CLA4	YNL298W	Serine/threonine-protein kinase CLA4	7.28305
KIN4	YOR233W	Serine/threonine-protein kinase KIN4	BUB2	YMR055C	Mitotic check point protein BUB2	7.25698
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	PDS5	YMR076C	Sister chromatid cohesion protein PDS5	7.23905
SSK22	YCR073C	Serine/threonine-protein kinase SSK22	PBS2	YJL128C	MAP kinase kinase PBS2	7.223861
PBS2	YJL128C	MAP kinase kinase PBS2	SSK22	YCR073C	Serine/threonine-protein kinase SSK22	7.223861
SSK22	YCR073C	Serine/threonine-protein kinase SSK22	SSK1	YLR006C	Osmolarity two-component system protein SSK1	7.188011
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	YPK2	YMR104C	Serine/threonine-protein kinase YPK2/YKR2	7.18759
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	7.164817
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	CNB1	YKL190W	Calcineurin subunit B	7.11714
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	SHS1	YDL225W	Seventh homolog of septin 1	7.07939
AKL1	YBR059C	Serine/threonine-protein kinase AKL1	PAN1	YIR006C	Actin cytoskeleton-regulatory complex protein PAN1	7.05768
CAK1	YFL029C	Serine/threonine-protein kinase CAK1	CLN2	YPL256C	G1/S-specific cyclin CLN2	7.05312
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	GIN4	YDR507C	Serine/threonine-protein kinase GIN4	7.05312
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	7.051453
BUD32	YGR262C	EKC/KEOPS complex subunit BUD32	CGI121	YML036W	EKC/KEOPS complex subunit CGI121	7.023011
PBS2	YJL128C	MAP kinase kinase PBS2	RCK2	YLR248W	Serine/threonine-protein kinase RCK2	6.98961
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ACC1	YNR016C	Acetyl-CoA carboxylase	6.96858
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	PFK2	YMR205C	ATP-dependent 6-phosphofructokinase subunit beta {ECO:0000255|HAMAP-Rule:MF_03184}	6.93017
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	6.928878
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SSN8	YNL025C	RNA polymerase II holoenzyme cyclin-like subunit	6.928878
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	RFX1	YLR176C	RFX-like DNA-binding protein RFX1	6.89556
HAL5	YJL165C	Serine/threonine-protein kinase HAL5	RGT1	YKL038W	Glucose transport transcription regulator RGT1	6.874448
CDC28	YBR160W	Cyclin-dependent kinase 1	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	6.835519
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	EXO1	YOR033C	Exodeoxyribonuclease 1	6.8146
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	RAD26	YJR035W	DNA repair and recombination protein RAD26	6.8146
KDX1	YKL161C	Serine/threonine-protein kinase KDX1	RLM1	YPL089C	Transcription factor RLM1	6.81279
CKA2	YOR061W	Casein kinase II subunit alpha'	CDC28	YBR160W	Cyclin-dependent kinase 1	6.797931
DUN1	YDL101C	DNA damage response protein kinase DUN1	DIF1	YLR437C	Damage-regulated import facilitator 1	6.79343
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	HOP1	YIL072W	Meiosis-specific protein HOP1	6.79343
YCK2	YNL154C	Casein kinase I homolog 2	PTR3	YFR029W	SPS-sensor component PTR3	6.79343
CDC7	YDL017W	Cell division control protein 7	REC107	YJR021C	Recombination protein 107	6.79343
TEL1	YBL088C	Serine/threonine-protein kinase TEL1	SAE2	YGL175C	DNA endonuclease SAE2	6.79343
KIN82	YCR091W	Serine/threonine-protein kinase KIN82	YPK1	YKL126W	Serine/threonine-protein kinase YPK1	6.79343
TPK1	YJL164C	cAMP-dependent protein kinase type 1	CDC19	YAL038W	Pyruvate kinase 1	6.79091
RIM15	YFL033C	Serine/threonine-protein kinase RIM15	IGO1	YNL157W	mRNA stability protein IGO1	6.79091
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	CHK1	YBR274W	Serine/threonine-protein kinase CHK1	6.78575
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	SML1	YML058W	Ribonucleotide reductase inhibitor protein SML1	6.78575
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	CDC12	YHR107C	Cell division control protein 12	6.769177
KCC4	YCL024W	Probable serine/threonine-protein kinase KCC4	CDC11	YJR076C	Cell division control protein 11	6.76899
DBF20	YPR111W	Serine/threonine-protein kinase DBF20	MOB1	YIL106W	DBF2 kinase activator protein MOB1	6.76899
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	RFA2	YNL312W	Replication factor A protein 2	6.76492
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	NRG2	YBR066C	Probable transcriptional regulator NRG2	6.74928
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	PIN4	YBL051C	RNA-binding protein PIN4	6.74928
YAK1	YJL141C	Dual specificity protein kinase YAK1	TPK1	YJL164C	cAMP-dependent protein kinase type 1	6.74928
PRK1	YIL095W	Actin-regulating kinase PRK1	SLA2	YNL243W	Protein SLA2	6.73607
MKK1	YOR231W	MAP kinase kinase MKK1/SSP32	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	6.732531
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	MKK1	YOR231W	MAP kinase kinase MKK1/SSP32	6.732531
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	HHT1	YBR010W	Histone H3	6.73201
YAK1	YJL141C	Dual specificity protein kinase YAK1	MSI1	YBR195C	Chromatin assembly factor 1 subunit p50	6.72801
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	MYO3	YKL129C	Myosin-3	6.72404
STE20	YHL007C	Serine/threonine-protein kinase STE20	MYO3	YKL129C	Myosin-3	6.72404
RIM15	YFL033C	Serine/threonine-protein kinase RIM15	MSN2	YMR037C	Zinc finger protein MSN2	6.71636
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	SML1	YML058W	Ribonucleotide reductase inhibitor protein SML1	6.71636
CDC28	YBR160W	Cyclin-dependent kinase 1	KIN2	YLR096W	Serine/threonine-protein kinase KIN2	6.70599
IRE1	YHR079C	Serine/threonine-protein kinase/endoribonuclease IRE1 precursor	GCN5	YGR252W	Histone acetyltransferase GCN5	6.70234
CDC28	YBR160W	Cyclin-dependent kinase 1	YIH1	YCR059C	Protein IMPACT homolog	6.70234
PRK1	YIL095W	Actin-regulating kinase PRK1	BEM2	YER155C	GTPase-activating protein BEM2/IPL2	6.69485
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	DIF1	YLR437C	Damage-regulated import facilitator 1	6.69485
PRK1	YIL095W	Actin-regulating kinase PRK1	EDE1	YBL047C	EH domain-containing and endocytosis protein 1	6.69485
RCK2	YLR248W	Serine/threonine-protein kinase RCK2	EFT1	YOR133W	Elongation factor 2	6.69485
RCK2	YLR248W	Serine/threonine-protein kinase RCK2	EFT2	YDR385W	Elongation factor 2	6.69485
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	MIG1	YGL035C	Regulatory protein MIG1	6.69485
YCK1	YHR135C	Casein kinase I homolog 1	MIH1	YMR036C	M-phase inducer phosphatase	6.69485
YCK2	YNL154C	Casein kinase I homolog 2	MIH1	YMR036C	M-phase inducer phosphatase	6.69485
MCK1	YNL307C	Protein kinase MCK1	RCN1	YKL159C	Calcipressin-like protein	6.69485
FUS3	YBL016W	Mitogen-activated protein kinase FUS3	RVS167	YDR388W	Reduced viability upon starvation protein 167	6.69485
HRR25	YPL204W	Casein kinase I homolog HRR25	SEC24	YIL109C	Protein transport protein SEC24	6.69485
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	STU2	YLR045C	Protein STU2	6.69485
STE20	YHL007C	Serine/threonine-protein kinase STE20	CDC42	YLR229C	Cell division control protein 42 precursor	6.676971
TOR1	YJR066W	Serine/threonine-protein kinase TOR1	GLN3	YER040W	Nitrogen regulatory protein GLN3	6.669458
PKC1	YBL105C	Protein kinase C-like 1	STT3	YGL022W	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3	6.665881
CDC28	YBR160W	Cyclin-dependent kinase 1	BUD6	YLR319C	Bud site selection protein 6	6.65043
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC19	YAL038W	Pyruvate kinase 1	6.65043
CDC28	YBR160W	Cyclin-dependent kinase 1	KAR3	YPR141C	Kinesin-like protein KAR3	6.65043
CDC28	YBR160W	Cyclin-dependent kinase 1	NBP1	YLR457C	NAP1-binding protein	6.65043
CDC28	YBR160W	Cyclin-dependent kinase 1	PTK2	YJR059W	Serine/threonine-protein kinase PTK2/STK2	6.65043
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	SSK2	YNR031C	MAP kinase kinase kinase SSK2	6.635906
GIN4	YDR507C	Serine/threonine-protein kinase GIN4	BNI5	YNL166C	Bud neck protein 5	6.63007
GIN4	YDR507C	Serine/threonine-protein kinase GIN4	CDC10	YCR002C	Cell division control protein 10	6.63007
TPK1	YJL164C	cAMP-dependent protein kinase type 1	ADR1	YDR216W	Regulatory protein ADR1	6.61503
IPL1	YPL209C	Spindle assembly checkpoint kinase	ASK1	YKL052C	DASH complex subunit ASK1	6.61503
TEL1	YBL088C	Serine/threonine-protein kinase TEL1	CDC13	YDL220C	Cell division control protein 13	6.61503
TPK3	YKL166C	cAMP-dependent protein kinase type 3	CDC34	YDR054C	Ubiquitin-conjugating enzyme E2-34 kDa	6.61503
CDC28	YBR160W	Cyclin-dependent kinase 1	CIN8	YEL061C	Kinesin-like protein CIN8	6.61503
PKC1	YBL105C	Protein kinase C-like 1	CKI1	YLR133W	Choline kinase	6.61503
CKA2	YOR061W	Casein kinase II subunit alpha'	GAL83	YER027C	SNF1 protein kinase subunit beta-3	6.61503
GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	6.61503
CDC28	YBR160W	Cyclin-dependent kinase 1	HOF1	YMR032W	Cytokinesis protein 2	6.61503
CDC7	YDL017W	Cell division control protein 7	MCM6	YGL201C	DNA replication licensing factor MCM6	6.61503
CDC28	YBR160W	Cyclin-dependent kinase 1	MPS1	YDL028C	Serine/threonine-protein kinase MPS1	6.61503
CKA2	YOR061W	Casein kinase II subunit alpha'	MYO5	YMR109W	Myosin-5	6.61503
CKA1	YIL035C	Casein kinase II subunit alpha	OPI1	YHL020C	Transcriptional repressor OPI1	6.61503
CKA2	YOR061W	Casein kinase II subunit alpha'	OPI1	YHL020C	Transcriptional repressor OPI1	6.61503
YPK1	YKL126W	Serine/threonine-protein kinase YPK1	ORM1	YGR038W	Protein ORM1	6.61503
YCK1	YHR135C	Casein kinase I homolog 1	PMA1	YGL008C	Plasma membrane ATPase 1	6.61503
YCK2	YNL154C	Casein kinase I homolog 2	PMA1	YGL008C	Plasma membrane ATPase 1	6.61503
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	REC114	YMR133W	Meiotic recombination protein REC114	6.61503
CKA2	YOR061W	Casein kinase II subunit alpha'	SGT1	YOR057W	Protein SGT1 {ECO:0000303|PubMed:10445024, ECO:0000303|PubMed:12456005}	6.61503
IPL1	YPL209C	Spindle assembly checkpoint kinase	SPC34	YKR037C	DASH complex subunit SPC34	6.61503
CKA2	YOR061W	Casein kinase II subunit alpha'	SRP1	YNL189W	Importin subunit alpha	6.61503
CKA1	YIL035C	Casein kinase II subunit alpha	SRP1	YNL189W	Importin subunit alpha	6.61503
TPK1	YJL164C	cAMP-dependent protein kinase type 1	SSO1	YPL232W	Protein SSO1	6.61503
YCK1	YHR135C	Casein kinase I homolog 1	STE50	YCL032W	Protein STE50	6.61503
CKA1	YIL035C	Casein kinase II subunit alpha	SUI2	YJR007W	Eukaryotic translation initiation factor 2 subunit alpha	6.61503
CKA2	YOR061W	Casein kinase II subunit alpha'	SUI2	YJR007W	Eukaryotic translation initiation factor 2 subunit alpha	6.61503
TPK3	YKL166C	cAMP-dependent protein kinase type 3	SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	6.61503
TPK2	YPL203W	cAMP-dependent protein kinase type 2	SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	6.61503
TPK1	YJL164C	cAMP-dependent protein kinase type 1	SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	6.61503
IPL1	YPL209C	Spindle assembly checkpoint kinase	IPL1	YPL209C	Spindle assembly checkpoint kinase	6.6079251
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	GIS4	YML006C	Protein GIS4	6.578621
MCK1	YNL307C	Protein kinase MCK1	ZDS1	YMR273C	Protein ZDS1	6.57783
PBS2	YJL128C	MAP kinase kinase PBS2	PTC1	YDL006W	Protein phosphatase 2C homolog 1	6.552308
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	CAT8	YMR280C	Regulatory protein CAT8	6.54664
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SIN4	YNL236W	Mediator of RNA polymerase II transcription subunit 16	6.531679
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SMI1	YGR229C	Cell wall assembly regulator SMI1	6.51493
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	PCL8	YPL219W	PHO85 cyclin-8	6.50957
TPK2	YPL203W	cAMP-dependent protein kinase type 2	MSN2	YMR037C	Zinc finger protein MSN2	6.50844
CDC28	YBR160W	Cyclin-dependent kinase 1	SRS2	YJL092W	ATP-dependent DNA helicase SRS2	6.44174
YPD1	YDL235C	Phosphorelay intermediate protein YPD1	SLN1	YIL147C	Osmosensing histidine protein kinase SLN1	6.418061
CDC28	YBR160W	Cyclin-dependent kinase 1	MSA1	YOR066W	G1-specific transcription factors activator MSA1	6.39821
DUN1	YDL101C	DNA damage response protein kinase DUN1	DIN7	YDR263C	DNA damage-inducible protein DIN7	6.3968
MCK1	YNL307C	Protein kinase MCK1	ROG1	YGL144C	Putative lipase ROG1	6.3968
RIM11	YMR139W	Serine/threonine-protein kinase RIM11/MSD1	ROG1	YGL144C	Putative lipase ROG1	6.3968
SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	CLB2	YPR119W	G2/mitotic-specific cyclin-2	6.39151
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDH1	YGL003C	APC/C activator protein CDH1	6.3846272
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	6.3816
PKC1	YBL105C	Protein kinase C-like 1	CLN2	YPL256C	G1/S-specific cyclin CLN2	6.37538
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	6.374629
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	BEM3	YPL115C	GTPase-activating protein BEM3	6.370187
KKQ8	YKL168C	Probable serine/threonine-protein kinase KKQ8	BMH1	YER177W	Protein BMH1	6.35566
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	CDC11	YJR076C	Cell division control protein 11	6.345857
CDC28	YBR160W	Cyclin-dependent kinase 1	PLM2	YDR501W	Protein PLM2	6.34316
CDC28	YBR160W	Cyclin-dependent kinase 1	SLK19	YOR195W	Kinetochore protein SLK19	6.34316
CDC28	YBR160W	Cyclin-dependent kinase 1	STU2	YLR045C	Protein STU2	6.34316
CDC28	YBR160W	Cyclin-dependent kinase 1	XBP1	YIL101C	Transcriptional repressor XBP1	6.34316
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	TOS3	YGL179C	Serine/threonine-protein kinase TOS3	6.333541
MEK1	YOR351C	Meiosis-specific serine/threonine-protein kinase MEK1	GLC7	YER133W	Serine/threonine-protein phosphatase PP1-2	6.325531
MKK1	YOR231W	MAP kinase kinase MKK1/SSP32	SPA2	YLL021W	Protein SPA2	6.31204
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	PKC1	YBL105C	Protein kinase C-like 1	6.307951
DUN1	YDL101C	DNA damage response protein kinase DUN1	RNR4	YGR180C	Ribonucleoside-diphosphate reductase small chain 2	6.306549
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	SGS1	YMR190C	ATP-dependent helicase SGS1 {ECO:0000303|PubMed:7969174}	6.298299
HRR25	YPL204W	Casein kinase I homolog HRR25	SWI6	YLR182W	Regulatory protein SWI6	6.264151
RCK2	YLR248W	Serine/threonine-protein kinase RCK2	ZRC1	YMR243C	Zinc/cadmium resistance protein	6.25795
YAK1	YJL141C	Dual specificity protein kinase YAK1	BCY1	YIL033C	cAMP-dependent protein kinase regulatory subunit	6.23527
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	MAM1	YER106W	Monopolin complex subunit MAM1	6.23527
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	URE2	YNL229C	Transcriptional regulator URE2	6.225319
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	MCM4	YPR019W	DNA replication licensing factor MCM4	6.21807
DBF2	YGR092W	Cell cycle protein kinase DBF2	CDC28	YBR160W	Cyclin-dependent kinase 1	6.206139
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	6.1962
TPK2	YPL203W	cAMP-dependent protein kinase type 2	CDC28	YBR160W	Cyclin-dependent kinase 1	6.18888
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	RAD51	YER095W	DNA repair protein RAD51	6.18888
TEL1	YBL088C	Serine/threonine-protein kinase TEL1	RAD51	YER095W	DNA repair protein RAD51	6.18888
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	SMC4	YLR086W	Structural maintenance of chromosomes protein 4	6.16588
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	GAS1	YMR307W	1,3-beta-glucanosyltransferase GAS1 precursor	6.16245
KCC4	YCL024W	Probable serine/threonine-protein kinase KCC4	CDC3	YLR314C	Cell division control protein 3	6.15813
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	LST8	YNL006W	Target of rapamycin complex subunit LST8	6.15813
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PCL1	YNL289W	PHO85 cyclin-1 {ECO:0000305|PubMed:7973730}	6.157779
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	CDC28	YBR160W	Cyclin-dependent kinase 1	6.15244
PRK1	YIL095W	Actin-regulating kinase PRK1	END3	YNL084C	Actin cytoskeleton-regulatory complex protein END3	6.14914
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDC28	YBR160W	Cyclin-dependent kinase 1	6.125179
SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	6.112681
PRK1	YIL095W	Actin-regulating kinase PRK1	ENT2	YLR206W	Epsin-2	6.110767
SSK22	YCR073C	Serine/threonine-protein kinase SSK22	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	6.109971
SLN1	YIL147C	Osmosensing histidine protein kinase SLN1	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	6.109971
FUS3	YBL016W	Mitogen-activated protein kinase FUS3	STE4	YOR212W	Guanine nucleotide-binding protein subunit beta	6.109971
IPL1	YPL209C	Spindle assembly checkpoint kinase	CBF2	YGR140W	Centromere DNA-binding protein complex CBF3 subunit A	6.096937
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	ZDS1	YMR273C	Protein ZDS1	6.084359
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SPA2	YLL021W	Protein SPA2	6.05798
KIC1	YHR102W	Serine/threonine-protein kinase KIC1	CDC31	YOR257W	Cell division control protein 31	6.05409
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	DUN1	YDL101C	DNA damage response protein kinase DUN1	6.05002
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	PTC1	YDL006W	Protein phosphatase 2C homolog 1	5.994769
CDC28	YBR160W	Cyclin-dependent kinase 1	RTS1	YOR014W	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	5.99109
PKC1	YBL105C	Protein kinase C-like 1	SWP1	YMR149W	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1 precursor	5.98744
PKC1	YBL105C	Protein kinase C-like 1	WBP1	YEL002C	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 precursor	5.98744
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	KDX1	YKL161C	Serine/threonine-protein kinase KDX1	5.94398
KCC4	YCL024W	Probable serine/threonine-protein kinase KCC4	GIN4	YDR507C	Serine/threonine-protein kinase GIN4	5.917811
SAK1	YER129W	SNF1-activating kinase 1	SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	5.90018
CDC28	YBR160W	Cyclin-dependent kinase 1	DBF20	YPR111W	Serine/threonine-protein kinase DBF20	5.88358
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	BMH1	YER177W	Protein BMH1	5.88047
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	RGC1	YPR115W	Regulator of the glycerol channel 1	5.87908
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	GLC7	YER133W	Serine/threonine-protein phosphatase PP1-2	5.878711
CDC28	YBR160W	Cyclin-dependent kinase 1	BUD4	YJR092W	Bud site selection protein 4	5.84207
CDC28	YBR160W	Cyclin-dependent kinase 1	CHS2	YBR038W	Chitin synthase 2	5.84207
CDC28	YBR160W	Cyclin-dependent kinase 1	FPK1	YNR047W	Flippase kinase 1	5.84207
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	SSD1	YDR293C	Protein SSD1	5.84207
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	VIP1	YLR410W	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	5.84207
ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	ATG29	YPL166W	Autophagy-related protein 29	5.841217
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	CTK1	YKL139W	CTD kinase subunit alpha	5.836489
CTK1	YKL139W	CTD kinase subunit alpha	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	5.836489
KDX1	YKL161C	Serine/threonine-protein kinase KDX1	ASK10	YGR097W	Activator of SKN7 protein 10	5.834698
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	KIC1	YHR102W	Serine/threonine-protein kinase KIC1	5.83052
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PTC1	YDL006W	Protein phosphatase 2C homolog 1	5.819749
CDC15	YAR019C	Cell division control protein 15	MOB1	YIL106W	DBF2 kinase activator protein MOB1	5.81381
CKA1	YIL035C	Casein kinase II subunit alpha	YCF1	YDR135C	Metal resistance protein YCF1	5.81172
HAL5	YJL165C	Serine/threonine-protein kinase HAL5	YCF1	YDR135C	Metal resistance protein YCF1	5.81172
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	ULP2	YIL031W	Ubiquitin-like-specific protease 2	5.80901
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDC20	YGL116W	APC/C activator protein CDC20	5.771239
KIC1	YHR102W	Serine/threonine-protein kinase KIC1	ACE2	YLR131C	Metallothionein expression activator	5.76545
ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	5.73962
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	HXK2	YGL253W	Hexokinase-2	5.730939
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	FAS1	YKL182W	Fatty acid synthase subunit beta	5.72497
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC11	YJR076C	Cell division control protein 11	5.72041
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	PDS1	YDR113C	Securin	5.72041
YCK2	YNL154C	Casein kinase I homolog 2	FUR4	YBR021W	Uracil permease	5.6989
YCK1	YHR135C	Casein kinase I homolog 1	FUR4	YBR021W	Uracil permease	5.6989
YCK2	YNL154C	Casein kinase I homolog 2	NPR2	YEL062W	Nitrogen permease regulator 2	5.6989
YCK1	YHR135C	Casein kinase I homolog 1	NPR2	YEL062W	Nitrogen permease regulator 2	5.6989
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	RGT1	YKL038W	Glucose transport transcription regulator RGT1	5.6989
