gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type_of_interaction
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	MBP1	YDL056W	Transcription factor MBP1	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CLB3	YDL155W	G2/mitotic-specific cyclin-3	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	DBF4	YDR052C	DDK kinase regulatory subunit DBF4	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	PDS1	YDR113C	Securin	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	NBP2	YDR162C	NAP1-binding protein 2	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDC37	YDR168W	Hsp90 co-chaperone Cdc37	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	UBC1	YDR177W	Ubiquitin-conjugating enzyme E2 1	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	UME6	YDR207C	Transcriptional regulatory protein UME6	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	SWM1	YDR260C	Anaphase-promoting complex subunit SWM1	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	MCM3	YEL032W	DNA replication licensing factor MCM3	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CIN8	YEL061C	Kinesin-like protein CIN8	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDH1	YGL003C	APC/C activator protein CDH1	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDC20	YGL116W	APC/C activator protein CDC20	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDC55	YGL190C	Protein phosphatase PP2A regulatory subunit B	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	SMI1	YGR229C	Cell wall assembly regulator SMI1	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	GPI16	YHR188C	GPI transamidase component GPI16 precursor	ng
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CCT7	YJL111W	T-complex protein 1 subunit eta	ng
APE1	YKL103C	Vacuolar aminopeptidase 1 {ECO:0000303|PubMed:17329814} precursor	ARP3	YJR065C	Actin-related protein 3	ng
GFA1	YKL104C	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	HTA2	YBL003C	Histone H2A.2	ng
GFA1	YKL104C	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	RPN6	YDL097C	26S proteasome regulatory subunit RPN6	ng
GFA1	YKL104C	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	MOB1	YIL106W	DBF2 kinase activator protein MOB1	ng
GFA1	YKL104C	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	ng
HAP4	YKL109W	Transcriptional activator HAP4	SAS3	YBL052C	Histone acetyltransferase SAS3	ng
HAP4	YKL109W	Transcriptional activator HAP4	BTT1	YDR252W	Nascent polypeptide-associated complex subunit beta-2	ng
HAP4	YKL109W	Transcriptional activator HAP4	GIC2	YDR309C	GTPase-interacting component 2	ng
HAP4	YKL109W	Transcriptional activator HAP4	CAP2	YIL034C	F-actin-capping protein subunit beta	ng
KTI12	YKL110C	Protein KTI12	PIN4	YBL051C	RNA-binding protein PIN4	ng
KTI12	YKL110C	Protein KTI12	STE50	YCL032W	Protein STE50	ng
KTI12	YKL110C	Protein KTI12	GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	ng
KTI12	YKL110C	Protein KTI12	ADA2	YDR448W	Transcriptional adapter 2	ng
KTI12	YKL110C	Protein KTI12	SWI4	YER111C	Regulatory protein SWI4	ng
KTI12	YKL110C	Protein KTI12	SPT15	YER148W	TATA-box-binding protein	ng
KTI12	YKL110C	Protein KTI12	RTF1	YGL244W	RNA polymerase-associated protein RTF1	ng
KTI12	YKL110C	Protein KTI12	TFG2	YGR005C	Transcription initiation factor IIF subunit beta	ng
KTI12	YKL110C	Protein KTI12	SEC24	YIL109C	Protein transport protein SEC24	ng
ABF1	YKL112W	ARS-binding factor 1	URA7	YBL039C	CTP synthase 1	ng
ABF1	YKL112W	ARS-binding factor 1	NUP170	YBL079W	Nucleoporin NUP170	ng
ABF1	YKL112W	ARS-binding factor 1	MAK5	YBR142W	ATP-dependent RNA helicase MAK5	ng
ABF1	YKL112W	ARS-binding factor 1	ASM4	YDL088C	Nucleoporin ASM4	ng
ABF1	YKL112W	ARS-binding factor 1	ACK1	YDL203C	Activator of C kinase protein 1	ng
ABF1	YKL112W	ARS-binding factor 1	RRP1	YDR087C	Ribosomal RNA-processing protein 1	ng
ABF1	YKL112W	ARS-binding factor 1	RLI1	YDR091C	Translation initiation factor RLI1	ng
ABF1	YKL112W	ARS-binding factor 1	PMT7	YDR307W	Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7 {ECO:0000305}	ng
ABF1	YKL112W	ARS-binding factor 1	FRQ1	YDR373W	Calcium-binding protein NCS-1	ng
ABF1	YKL112W	ARS-binding factor 1	RPL27B	YDR471W	60S ribosomal protein L27-B	ng
ABF1	YKL112W	ARS-binding factor 1	SNU13	YEL026W	13 kDa ribonucleoprotein-associated protein	ng
ABF1	YKL112W	ARS-binding factor 1	RPL12A	YEL054C	60S ribosomal protein L12-A	ng
ABF1	YKL112W	ARS-binding factor 1	NUG1	YER006W	Nuclear GTP-binding protein NUG1	ng
ABF1	YKL112W	ARS-binding factor 1	NTF2	YER009W	Nuclear transport factor 2	ng
ABF1	YKL112W	ARS-binding factor 1	UTP7	YER082C	U3 small nucleolar RNA-associated protein 7	ng
ABF1	YKL112W	ARS-binding factor 1	KAP123	YER110C	Importin subunit beta-4 {ECO:0000305}	ng
ABF1	YKL112W	ARS-binding factor 1	BMH1	YER177W	Protein BMH1	ng
ABF1	YKL112W	ARS-binding factor 1	RPN12	YFR052W	26S proteasome regulatory subunit RPN12	ng
ABF1	YKL112W	ARS-binding factor 1	AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	ng
ABF1	YKL112W	ARS-binding factor 1	MTR3	YGR158C	Exosome complex component MTR3	ng
ABF1	YKL112W	ARS-binding factor 1	OPI1	YHL020C	Transcriptional repressor OPI1	ng
ABF1	YKL112W	ARS-binding factor 1	RPL8A	YHL033C	60S ribosomal protein L8-A	ng
ABF1	YKL112W	ARS-binding factor 1	SSF1	YHR066W	Ribosome biogenesis protein SSF1	ng
ABF1	YKL112W	ARS-binding factor 1	ORC6	YHR118C	Origin recognition complex subunit 6	ng
ABF1	YKL112W	ARS-binding factor 1	LSM12	YHR121W	Protein LSM12	ng
ABF1	YKL112W	ARS-binding factor 1	SPO16	YHR153C	Sporulation-specific protein 16	ng
ABF1	YKL112W	ARS-binding factor 1	KAR2	YJL034W	78 kDa glucose-regulated protein homolog precursor	ng
ABF1	YKL112W	ARS-binding factor 1	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	ng
ABF1	YKL112W	ARS-binding factor 1	GEA1	YJR031C	ARF guanine-nucleotide exchange factor 1	ng
ABF1	YKL112W	ARS-binding factor 1	URB2	YJR041C	Nucleolar pre-ribosomal-associated protein 2	ng
ABF1	YKL112W	ARS-binding factor 1	NA	YJR054W	Uncharacterized vacuolar membrane protein YJR054W	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	RFA1	YAR007C	Replication factor A protein 1	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	ORC2	YBR060C	Origin recognition complex subunit 2	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	RFC5	YBR087W	Replication factor C subunit 5	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	MRC1	YCL061C	Mediator of replication checkpoint protein 1	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	RAD18	YCR066W	Postreplication repair E3 ubiquitin-protein ligase RAD18	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	CDC9	YDL164C	DNA ligase 1 precursor	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	RNH202	YDR279W	Ribonuclease H2 subunit B	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	RAD51	YER095W	DNA repair protein RAD51	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	SMC3	YJL074C	Structural maintenance of chromosomes protein 3	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	RFA3	YJL173C	Replication factor A protein 3	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	CDC6	YJL194W	Cell division control protein 6	ng
RAD27	YKL113C	Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}	POL32	YJR043C	DNA polymerase delta subunit 3	ng
PRR1	YKL116C	Serine/threonine-protein kinase PRR1	CDC20	YGL116W	APC/C activator protein CDC20	ng
RRN3	YKL125W	RNA polymerase I-specific transcription initiation factor RRN3	RPA14	YDR156W	DNA-directed RNA polymerase I subunit RPA14	ng
RRN3	YKL125W	RNA polymerase I-specific transcription initiation factor RRN3	RPA34	YJL148W	DNA-directed RNA polymerase I subunit RPA34	ng
MYO3	YKL129C	Myosin-3	SAC3	YDR159W	Nuclear mRNA export protein SAC3	ng
SHE2	YKL130C	SWI5-dependent HO expression protein 2	CMD1	YBR109C	Calmodulin	ng
APL2	YKL135C	AP-1 complex subunit beta-1	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
APL2	YKL135C	AP-1 complex subunit beta-1	SWI5	YDR146C	Transcriptional factor SWI5	ng
APL2	YKL135C	AP-1 complex subunit beta-1	GGA2	YHR108W	ADP-ribosylation factor-binding protein GGA2	ng
CTK1	YKL139W	CTD kinase subunit alpha	PTA1	YAL043C	Pre-tRNA-processing protein PTA1	ng
CTK1	YKL139W	CTD kinase subunit alpha	HTB2	YBL002W	Histone H2B.2	ng
CTK1	YKL139W	CTD kinase subunit alpha	CYC8	YBR112C	General transcriptional corepressor CYC8	ng
CTK1	YKL139W	CTD kinase subunit alpha	RPA14	YDR156W	DNA-directed RNA polymerase I subunit RPA14	ng
CTK1	YKL139W	CTD kinase subunit alpha	SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	ng
CTK1	YKL139W	CTD kinase subunit alpha	PAB1	YER165W	Polyadenylate-binding protein, cytoplasmic and nuclear	ng
CTK1	YKL139W	CTD kinase subunit alpha	NIC96	YFR002W	Nucleoporin NIC96	ng
CTK1	YKL139W	CTD kinase subunit alpha	DST1	YGL043W	Transcription elongation factor S-II	ng
CTK1	YKL139W	CTD kinase subunit alpha	RRD1	YIL153W	Serine/threonine-protein phosphatase 2A activator 1	ng
CTK1	YKL139W	CTD kinase subunit alpha	PBS2	YJL128C	MAP kinase kinase PBS2	ng
RPC25	YKL144C	DNA-directed RNA polymerase III subunit RPC8	URA7	YBL039C	CTP synthase 1	ng
RPC25	YKL144C	DNA-directed RNA polymerase III subunit RPC8	HXK2	YGL253W	Hexokinase-2	ng
RPC25	YKL144C	DNA-directed RNA polymerase III subunit RPC8	RPN10	YHR200W	26S proteasome regulatory subunit RPN10	ng
RPC25	YKL144C	DNA-directed RNA polymerase III subunit RPC8	MNN11	YJL183W	Probable alpha-1,6-mannosyltransferase MNN11	ng
RPC25	YKL144C	DNA-directed RNA polymerase III subunit RPC8	SSC1	YJR045C	Heat shock protein SSC1, mitochondrial precursor	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	PHO11	YAR071W	Acid phosphatase PHO11 precursor	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	PRE7	YBL041W	Proteasome subunit beta type-6 precursor	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CHS2	YBR038W	Chitin synthase 2	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	HSM3	YBR272C	DNA mismatch repair protein HSM3	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPT2	YDL007W	26S protease regulatory subunit 4 homolog	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN4	YDL020C	Protein RPN4	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN6	YDL097C	26S proteasome regulatory subunit RPN6	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	GET3	YDL100C	ATPase GET3 {ECO:0000255|HAMAP-Rule:MF_03112}	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CDC48	YDL126C	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN5	YDL147W	26S proteasome regulatory subunit RPN5	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CDC13	YDL220C	Cell division control protein 13	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	SWI5	YDR146C	Transcriptional factor SWI5	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CDC37	YDR168W	Hsp90 co-chaperone Cdc37	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPT3	YDR394W	26S protease regulatory subunit 6B homolog	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN9	YDR427W	26S proteasome regulatory subunit RPN9	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN3	YER021W	26S proteasome regulatory subunit RPN3	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RSP5	YER125W	E3 ubiquitin-protein ligase RSP5	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	BEM2	YER155C	GTPase-activating protein BEM2/IPL2	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	PAB1	YER165W	Polyadenylate-binding protein, cytoplasmic and nuclear	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN11	YFR004W	Ubiquitin carboxyl-terminal hydrolase RPN11	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	ECO1	YFR027W	N-acetyltransferase ECO1	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CDC14	YFR028C	Tyrosine-protein phosphatase CDC14	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	PRE4	YFR050C	Proteasome subunit beta type-7 precursor	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN12	YFR052W	26S proteasome regulatory subunit RPN12	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	SCL1	YGL011C	Proteasome subunit alpha type-1	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPT6	YGL048C	26S protease regulatory subunit 8 homolog	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	PYC1	YGL062W	Pyruvate carboxylase 1	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	INO80	YGL150C	Putative DNA helicase INO80	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	MPT5	YGL178W	Suppressor protein MPT5	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CDC55	YGL190C	Protein phosphatase PP2A regulatory subunit B	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	KIP3	YGL216W	Kinesin-like protein KIP3	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RTF1	YGL244W	RNA polymerase-associated protein RTF1	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	UFD1	YGR048W	Ubiquitin fusion degradation protein 1	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	PRE9	YGR135W	Proteasome subunit alpha type-3	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	UBR1	YGR184C	E3 ubiquitin-protein ligase UBR1	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	PUP2	YGR253C	Proteasome subunit alpha type-5	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	SNF6	YHL025W	Transcription regulatory protein SNF6	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	ECM29	YHL030W	Proteasome component ECM29	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	NDT80	YHR124W	Meiosis-specific transcription factor NDT80	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	RPN10	YHR200W	26S proteasome regulatory subunit RPN10	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	VHS2	YIL135C	Protein VHS2	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	CDC6	YJL194W	Cell division control protein 6	ng
RPT1	YKL145W	26S protease regulatory subunit 7 homolog	ATP7	YKL016C	ATP synthase subunit d, mitochondrial	ng
AVT3	YKL146W	Vacuolar amino acid transporter 3	PKC1	YBL105C	Protein kinase C-like 1	ng
SDH1	YKL148C	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor	POL5	YEL055C	DNA polymerase V	ng
APE2	YKL157W	Aminopeptidase 2, mitochondrial precursor	PDA1	YER178W	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial precursor	ng
RCN1	YKL159C	Calcipressin-like protein	SNF6	YHL025W	Transcription regulatory protein SNF6	ng
ELF1	YKL160W	Transcription elongation factor 1	CFT1	YDR301W	Protein CFT1	ng
KDX1	YKL161C	Serine/threonine-protein kinase KDX1	RTF1	YGL244W	RNA polymerase-associated protein RTF1	ng
PIR1	YKL164C	Cell wall mannoprotein PIR1 precursor	SMI1	YGR229C	Cell wall assembly regulator SMI1	ng
PIR1	YKL164C	Cell wall mannoprotein PIR1 precursor	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	ng
PIR1	YKL164C	Cell wall mannoprotein PIR1 precursor	HSP150	YJL159W	Cell wall mannoprotein HSP150 precursor	ng
TPK3	YKL166C	cAMP-dependent protein kinase type 3	EMI2	YDR516C	Putative glucokinase-2	ng
TPK3	YKL166C	cAMP-dependent protein kinase type 3	TPK1	YJL164C	cAMP-dependent protein kinase type 1	ng
KKQ8	YKL168C	Probable serine/threonine-protein kinase KKQ8	ASM4	YDL088C	Nucleoporin ASM4	ng
KKQ8	YKL168C	Probable serine/threonine-protein kinase KKQ8	GCN4	YEL009C	General control protein GCN4	ng
KKQ8	YKL168C	Probable serine/threonine-protein kinase KKQ8	SFB3	YHR098C	SED5-binding protein 3	ng
NNK1	YKL171W	Nitrogen network kinase 1	SEC24	YIL109C	Protein transport protein SEC24	ng
EBP2	YKL172W	rRNA-processing protein EBP2	MAK16	YAL025C	Protein MAK16	ng
EBP2	YKL172W	rRNA-processing protein EBP2	MAK5	YBR142W	ATP-dependent RNA helicase MAK5	ng
EBP2	YKL172W	rRNA-processing protein EBP2	RPF1	YHR088W	Ribosome production factor 1	ng
EBP2	YKL172W	rRNA-processing protein EBP2	SSC1	YJR045C	Heat shock protein SSC1, mitochondrial precursor	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	LSM2	YBL026W	U6 snRNA-associated Sm-like protein LSm2	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	SYF1	YDR416W	Pre-mRNA-splicing factor SYF1	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	LSM4	YER112W	U6 snRNA-associated Sm-like protein LSm4	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	BUD13	YGL174W	Pre-mRNA-splicing factor CWC26	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	PRP38	YGR075C	Pre-mRNA-splicing factor 38	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	LIN1	YHR156C	Protein LIN1	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	LSM8	YJR022W	U6 snRNA-associated Sm-like protein LSm8	ng
SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	PRP40	YKL012W	Pre-mRNA-processing protein PRP40	ng
ZRT3	YKL175W	Zinc-regulated transporter 3	ZRT1	YGL255W	Zinc-regulated transporter 1	ng
COY1	YKL179C	Protein CASP	RPT3	YDR394W	26S protease regulatory subunit 6B homolog	ng
RPL17A	YKL180W	60S ribosomal protein L17-A	NOP1	YDL014W	rRNA 2'-O-methyltransferase fibrillarin	ng
RPL17A	YKL180W	60S ribosomal protein L17-A	RPN4	YDL020C	Protein RPN4	ng
RPL17A	YKL180W	60S ribosomal protein L17-A	SHE9	YDR393W	Sensitive to high expression protein 9, mitochondrial precursor	ng
RPL17A	YKL180W	60S ribosomal protein L17-A	RPL29	YFR032C-A	60S ribosomal protein L29	ng
RPL17A	YKL180W	60S ribosomal protein L17-A	RPL24A	YGL031C	60S ribosomal protein L24-A	ng
RPL17A	YKL180W	60S ribosomal protein L17-A	PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	ng
RPL17A	YKL180W	60S ribosomal protein L17-A	RPS14B	YJL191W	40S ribosomal protein S14-B	ng
MTR2	YKL186C	mRNA transport regulator MTR2	NUP60	YAR002W	Nucleoporin NUP60	ng
MTR2	YKL186C	mRNA transport regulator MTR2	NUP170	YBL079W	Nucleoporin NUP170	ng
MTR2	YKL186C	mRNA transport regulator MTR2	ARX1	YDR101C	Probable metalloprotease ARX1	ng
MTR2	YKL186C	mRNA transport regulator MTR2	NUP42	YDR192C	Nucleoporin NUP42	ng
MTR2	YKL186C	mRNA transport regulator MTR2	NUP145	YGL092W	Nucleoporin NUP145 precursor	ng
MTR2	YKL186C	mRNA transport regulator MTR2	CRM1	YGR218W	Exportin-1	ng
MTR2	YKL186C	mRNA transport regulator MTR2	NUP159	YIL115C	Nucleoporin NUP159	ng
MTR2	YKL186C	mRNA transport regulator MTR2	NUP192	YJL039C	Nucleoporin NUP192	ng
NA	YKL187C	Uncharacterized protein YKL187C	RPN6	YDL097C	26S proteasome regulatory subunit RPN6	ng
PXA2	YKL188C	Peroxisomal long-chain fatty acid import protein 1	UME6	YDR207C	Transcriptional regulatory protein UME6	ng
CNB1	YKL190W	Calcineurin subunit B	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
CNB1	YKL190W	Calcineurin subunit B	SEC17	YBL050W	Alpha-soluble NSF attachment protein	ng
CNB1	YKL190W	Calcineurin subunit B	PKC1	YBL105C	Protein kinase C-like 1	ng
CNB1	YKL190W	Calcineurin subunit B	RER2	YBR002C	Dehydrodolichyl diphosphate syntase complex subunit RER2 {ECO:0000305}	ng
CNB1	YKL190W	Calcineurin subunit B	SEC18	YBR080C	Vesicular-fusion protein SEC18	ng
CNB1	YKL190W	Calcineurin subunit B	ROT2	YBR229C	Glucosidase 2 subunit alpha precursor	ng
CNB1	YKL190W	Calcineurin subunit B	MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	ng
CNB1	YKL190W	Calcineurin subunit B	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ng
CNB1	YKL190W	Calcineurin subunit B	VPS52	YDR484W	Vacuolar protein sorting-associated protein 52	ng
CNB1	YKL190W	Calcineurin subunit B	PMI40	YER003C	Mannose-6-phosphate isomerase	ng
CNB1	YKL190W	Calcineurin subunit B	GET2	YER083C	Golgi to ER traffic protein 2 {ECO:0000255|HAMAP-Rule:MF_03114}	ng
CNB1	YKL190W	Calcineurin subunit B	TSC11	YER093C	Target of rapamycin complex 2 subunit TSC11	ng
CNB1	YKL190W	Calcineurin subunit B	UBP3	YER151C	Ubiquitin carboxyl-terminal hydrolase 3	ng
CNB1	YKL190W	Calcineurin subunit B	COG3	YER157W	Conserved oligomeric Golgi complex subunit 3	ng
CNB1	YKL190W	Calcineurin subunit B	SMI1	YGR229C	Cell wall assembly regulator SMI1	ng
CNB1	YKL190W	Calcineurin subunit B	OPI1	YHL020C	Transcriptional repressor OPI1	ng
CNB1	YKL190W	Calcineurin subunit B	RTT107	YHR154W	Regulator of Ty1 transposition protein 107	ng
CNB1	YKL190W	Calcineurin subunit B	NEO1	YIL048W	Probable phospholipid-transporting ATPase NEO1	ng
CNB1	YKL190W	Calcineurin subunit B	SEC28	YIL076W	Coatomer subunit epsilon	ng
CNB1	YKL190W	Calcineurin subunit B	SSL2	YIL143C	DNA repair helicase RAD25	ng
SDS22	YKL193C	Protein phosphatase 1 regulatory subunit SDS22	GLC7	YER133W	Serine/threonine-protein phosphatase PP1-2	ng
SDS22	YKL193C	Protein phosphatase 1 regulatory subunit SDS22	YPI1	YFR003C	Type 1 phosphatases regulator YPI1	ng
MIA40	YKL195W	Mitochondrial intermembrane space import and assembly protein 40 precursor	TIM22	YDL217C	Mitochondrial import inner membrane translocase subunit TIM22	ng
MIA40	YKL195W	Mitochondrial intermembrane space import and assembly protein 40 precursor	QCR9	YGR183C	Cytochrome b-c1 complex subunit 9	ng
MIA40	YKL195W	Mitochondrial intermembrane space import and assembly protein 40 precursor	RPA34	YJL148W	DNA-directed RNA polymerase I subunit RPA34	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SYN8	YAL014C	Syntaxin-8	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	ERP1	YAR002C-A	Protein ERP1 precursor	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SEC17	YBL050W	Alpha-soluble NSF attachment protein	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SEC18	YBR080C	Vesicular-fusion protein SEC18	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	NGR1	YBR212W	Negative growth regulatory protein NGR1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SSH1	YBR283C	Sec sixty-one protein homolog	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	NUP84	YDL116W	Nucleoporin NUP84	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	NUS1	YDL193W	Dehydrodolichyl diphosphate syntase complex subunit NUS1 {ECO:0000305}	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	GCS1	YDL226C	ADP-ribosylation factor GTPase-activating protein GCS1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SLY1	YDR189W	Protein SLY1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SWR1	YDR334W	Helicase SWR1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	TLG1	YDR468C	T-SNARE affecting a late Golgi compartment protein 1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	VPS3	YDR495C	Vacuolar protein sorting-associated protein 3	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	GLO3	YER122C	ADP-ribosylation factor GTPase-activating protein GLO3	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	YPT1	YFL038C	GTP-binding protein YPT1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SEC27	YGL137W	Coatomer subunit beta'	ng
